,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,10/2/2022 23:57,247.96,1080.02,84.33,1,0.07,0,3.43,2930.09,0.21,16.71,0.21,3297,0,16.36,0,43200011,1,50.04
8,10/3/2022 0:00,248.69,1080.02,84.58,1,0.07,0,3.3,2930.09,0.2,16.36,0.2,3297,0,16.03,0,43200011,1,50.02
7,10/3/2022 0:03,247.63,1080.03,84.22,1,0.07,0,3.34,2930.09,0.2,16.44,0.2,3297,0,16.1,0,43200011,1,49.93
6,10/3/2022 0:06,246.26,1080.03,83.77,1,6.02,0,1400.75,2930.11,0.94,1482.98,0.94,3297.02,0,486.96,0,43200011,1,49.92
5,10/3/2022 0:09,247.47,1080.06,84.19,1,5.91,0,1384.5,2930.18,0.95,1463.54,0.95,3297.09,0,474.45,0,43200011,1,49.99
4,10/3/2022 0:12,248.37,1080.07,84.46,1,0.07,0,3.63,2930.21,0.21,16.99,0.21,3297.12,0,16.6,0,43200011,1,50.01
3,10/3/2022 0:15,248.18,1080.07,84.4,1,0.07,0,3.6,2930.21,0.21,17.03,0.21,3297.12,0,16.64,0,43200011,1,49.99
2,10/3/2022 0:18,248.06,1080.07,84.36,1,0.07,0,3.56,2930.21,0.21,16.62,0.21,3297.12,0,16.23,0,43200011,1,49.92
1,10/3/2022 0:21,248.09,1080.07,84.37,1,0.07,0,3.59,2930.21,0.21,16.82,0.21,3297.12,0,16.43,0,43200011,1,49.9
0,10/3/2022 0:24,248.21,1080.07,84.42,1,0.07,0,3.56,2930.21,0.21,16.73,0.21,3297.12,0,16.35,0,43200011,1,49.93
19,10/3/2022 0:27,248.52,1080.07,84.52,1,0.07,0,3.59,2930.21,0.21,17.1,0.21,3297.12,0,16.72,0,43200011,1,49.98
18,10/3/2022 0:30,249.01,1080.07,84.68,1,0.07,0,3.75,2930.21,0.22,17.23,0.22,3297.12,0,16.82,0,43200011,1,49.99
17,10/3/2022 0:33,249.44,1080.07,84.82,1,0.07,0,3.49,2930.21,0.21,16.96,0.21,3297.12,0,16.6,0,43200011,1,49.99
16,10/3/2022 0:36,248.16,1080.08,84.42,1,6.02,0,1415.05,2930.23,0.95,1493.77,0.95,3297.14,0,478.54,0,43200011,1,49.99
15,10/3/2022 0:39,247.51,1080.1,84.2,1,5.89,0,1378.96,2930.3,0.95,1457.34,0.95,3297.22,0,471.49,0,43200011,1,49.99
14,10/3/2022 0:42,249.3,1080.11,84.78,1,0.07,0,3.55,2930.31,0.21,16.7,0.21,3297.23,0,16.32,0,43200011,1,50.02
13,10/3/2022 0:45,249.14,1080.11,84.72,1,0.07,0,3.33,2930.31,0.2,16.29,0.2,3297.23,0,15.95,0,43200011,1,49.97
12,10/3/2022 0:48,248.87,1080.11,84.64,1,0.07,0,3.39,2930.31,0.21,16.43,0.21,3297.23,0,16.07,0,43200011,1,49.94
11,10/3/2022 0:51,248.98,1080.11,84.66,1,0.07,0,3.34,2930.31,0.2,16.43,0.2,3297.23,0,16.09,0,43200011,1,49.97
10,10/3/2022 0:54,249.81,1080.11,84.95,1,0.07,0,3.35,2930.31,0.2,16.49,0.2,3297.23,0,16.14,0,43200011,1,50.02
29,10/3/2022 0:57,249.03,1080.11,84.69,1,0.07,0,3.41,2930.31,0.2,16.69,0.2,3297.24,0,16.33,0,43200011,1,50.02
28,10/3/2022 1:00,249.43,1080.11,84.82,1,0.07,0,3.39,2930.31,0.2,16.56,0.2,3297.24,0,16.21,0,43200011,1,50.02
27,10/3/2022 1:03,249.14,1080.11,84.72,1,0.07,0,3.41,2930.31,0.21,16.54,0.21,3297.24,0,16.19,0,43200011,1,49.93
26,10/3/2022 1:06,247.6,1080.12,84.22,1,5.99,0,1406.31,2930.33,0.95,1483.52,0.95,3297.26,0,472.37,0,43200011,1,49.89
25,10/3/2022 1:09,248.53,1080.14,84.55,1,5.89,0,1390.23,2930.4,0.95,1463.54,0.95,3297.33,0,457.42,0,43200011,1,49.92
24,10/3/2022 1:12,249.22,1080.15,84.75,1,0.07,0,3.49,2930.42,0.2,17.1,0.2,3297.36,0,16.74,0,43200011,1,49.9
23,10/3/2022 1:15,249.25,1080.15,84.76,1,0.07,0,3.32,2930.42,0.2,16.7,0.2,3297.36,0,16.37,0,43200011,1,49.88
22,10/3/2022 1:18,249.43,1080.15,84.82,1,0.07,0,3.34,2930.42,0.2,16.76,0.2,3297.36,0,16.43,0,43200011,1,49.9
21,10/3/2022 1:21,249.83,1080.16,84.95,1,0.07,0,3.35,2930.42,0.2,16.84,0.2,3297.36,0,16.5,0,43200011,1,49.9
20,10/3/2022 1:24,249.73,1080.16,84.92,1,0.07,0,3.29,2930.42,0.2,16.58,0.2,3297.36,0,16.25,0,43200011,1,49.92
39,10/3/2022 1:27,249.13,1080.16,84.71,1,0.07,0,3.33,2930.42,0.2,16.44,0.2,3297.36,0,16.1,0,43200011,1,49.96
38,10/3/2022 1:30,250.31,1080.16,85.12,1,0.07,0,3.33,2930.42,0.2,16.62,0.2,3297.36,0,16.28,0,43200011,1,49.94
37,10/3/2022 1:33,250.25,1080.16,85.11,1,0.07,0,3.32,2930.42,0.2,16.97,0.2,3297.36,0,16.64,0,43200011,1,49.91
36,10/3/2022 1:36,248.74,1080.17,84.62,1,5.99,0,1414.68,2930.44,0.95,1489.46,0.95,3297.39,0,465.99,0,43200011,1,49.94
35,10/3/2022 1:39,248.67,1080.19,84.59,1,5.89,0,1390.09,2930.51,0.95,1463.57,0.95,3297.46,0,457.92,0,43200011,1,49.93
34,10/3/2022 1:42,249.73,1080.2,84.92,1,0.07,0,3.48,2930.54,0.21,16.83,0.21,3297.48,0,16.47,0,43200011,1,49.94
33,10/3/2022 1:45,250.03,1080.2,85.02,1,0.07,0,3.3,2930.54,0.2,16.65,0.2,3297.49,0,16.32,0,43200011,1,49.99
32,10/3/2022 1:48,250.02,1080.2,85.02,1,0.07,0,3.32,2930.54,0.2,16.45,0.2,3297.49,0,16.11,0,43200011,1,49.98
31,10/3/2022 1:51,250.56,1080.2,85.21,1,0.07,0,3.36,2930.54,0.2,16.64,0.2,3297.49,0,16.29,0,43200011,1,50.04
30,10/3/2022 1:54,250.17,1080.2,85.08,1,0.07,0,3.42,2930.54,0.21,16.66,0.21,3297.49,0,16.31,0,43200011,1,50
49,10/3/2022 1:57,250.5,1080.2,85.21,1,0.07,0,3.51,2930.54,0.21,16.83,0.21,3297.49,0,16.46,0,43200011,1,49.99
48,10/3/2022 2:00,250.02,1080.2,85.03,1,0.07,0,3.25,2930.54,0.2,16.6,0.2,3297.49,0,16.28,0,43200011,1,49.99
47,10/3/2022 2:03,250.33,1080.2,85.13,1,0.07,0,3.33,2930.54,0.2,16.62,0.2,3297.49,0,16.28,0,43200011,1,50.03
46,10/3/2022 2:06,248.68,1080.21,84.61,1,6,0,1416.7,2930.56,0.95,1492.98,0.95,3297.51,0,471.11,0,43200011,1,49.98
45,10/3/2022 2:09,248.46,1080.23,84.53,1,5.86,0,1382.87,2930.63,0.95,1456.07,0.95,3297.58,0,455.89,0,43200011,1,49.95
44,10/3/2022 2:12,250.49,1080.24,85.19,1,0.07,0,3.6,2930.65,0.21,17.13,0.21,3297.61,0,16.75,0,43200011,1,50
43,10/3/2022 2:15,250.89,1080.24,85.32,1,0.07,0,3.35,2930.65,0.2,16.71,0.2,3297.61,0,16.37,0,43200011,1,50.02
42,10/3/2022 2:18,251.08,1080.24,85.39,1,0.07,0,3.35,2930.65,0.2,16.52,0.2,3297.61,0,16.18,0,43200011,1,50.02
41,10/3/2022 2:21,250.91,1080.24,85.33,1,0.07,0,3.35,2930.65,0.2,16.66,0.2,3297.61,0,16.32,0,43200011,1,50.01
40,10/3/2022 2:24,251.37,1080.25,85.49,1,0.07,0,3.27,2930.65,0.2,16.74,0.2,3297.61,0,16.42,0,43200011,1,50
59,10/3/2022 2:27,250.25,1080.25,85.1,1,0.07,0,3.31,2930.65,0.2,16.52,0.2,3297.62,0,16.18,0,43200011,1,50.01
58,10/3/2022 2:30,251.34,1080.25,85.47,1,0.07,0,3.26,2930.65,0.2,16.44,0.2,3297.62,0,16.11,0,43200011,1,49.98
57,10/3/2022 2:33,250.72,1080.25,85.26,1,0.07,0,3.36,2930.65,0.2,16.5,0.2,3297.62,0,16.15,0,43200011,1,49.96
56,10/3/2022 2:36,249.12,1080.25,84.74,1,6.01,0,1421.02,2930.67,0.95,1496.56,0.95,3297.64,0,469.47,0,43200011,1,49.97
55,10/3/2022 2:39,249.93,1080.28,85.02,1,5.86,0,1393.24,2930.74,0.95,1463.99,0.95,3297.71,0,449.62,0,43200011,1,50
54,10/3/2022 2:42,251.23,1080.29,85.44,1,0.07,0,3.48,2930.77,0.2,17.03,0.2,3297.74,0,16.67,0,43200011,1,50.02
53,10/3/2022 2:45,249.97,1080.29,85,1,0.07,0,3.21,2930.77,0.19,16.5,0.19,3297.74,0,16.18,0,43200011,1,49.98
52,10/3/2022 2:48,250.24,1080.29,85.1,1,0.07,0,3.25,2930.77,0.2,16.67,0.19,3297.74,0,16.35,0,43200011,1,49.95
51,10/3/2022 2:51,250.55,1080.29,85.21,1,0.07,0,3.35,2930.77,0.2,16.64,0.2,3297.74,0,16.3,0,43200011,1,50.02
50,10/3/2022 2:54,250.75,1080.29,85.28,1,0.07,0,3.27,2930.77,0.2,16.4,0.2,3297.74,0,16.07,0,43200011,1,50.03
69,10/3/2022 2:57,251.82,1080.29,85.64,1,0.07,0,3.3,2930.77,0.19,16.92,0.19,3297.74,0,16.6,0,43200011,1,50.02
68,10/3/2022 3:00,251.41,1080.29,85.5,1,0.07,0,3.22,2930.77,0.19,16.74,0.19,3297.74,0,16.43,0,43200011,1,50.01
67,10/3/2022 3:03,251.78,1080.29,85.64,1,0.07,0,3.46,2930.77,0.2,17.27,0.2,3297.74,0,16.92,0,43200011,1,49.99
66,10/3/2022 3:06,0,1080.29,85.39,0.39,0,251.71,23.11,2930.77,1,59.4,0.39,3297.74,0,54.72,0.24,43200011,1,49.95
65,10/3/2022 3:09,0,1080.3,85.15,0.97,0,250.94,1341.86,2930.79,1,1386.04,0.97,3297.77,0,347.15,5.52,43200011,1,49.99
64,10/3/2022 3:12,0,1080.32,85.22,0.97,0,251.15,1349.62,2930.86,1,1391.82,0.97,3297.84,0,340.16,5.54,43200011,1,49.99
63,10/3/2022 3:15,0,1080.34,85.57,0.37,0,252.26,23.38,2930.92,1,64.02,0.37,3297.9,0,59.6,0.25,43200011,1,49.99
62,10/3/2022 3:18,0,1080.34,85.53,0.37,0,252.16,23.23,2930.92,1,62.69,0.37,3297.9,0,58.23,0.25,43200011,1,49.98
61,10/3/2022 3:21,0,1080.36,85.56,0.38,0,252.24,23.91,2930.99,1,63.36,0.38,3297.97,0,58.68,0.25,43200011,1,49.99
60,10/3/2022 3:24,0,1080.36,85.64,0.38,0,252.46,24.02,2930.99,1,63.77,0.38,3297.98,0,59.07,0.25,43200011,1,49.96
79,10/3/2022 3:27,0,1080.37,85.22,0.97,0,251.17,1372.45,2931.03,1,1413.38,0.97,3298.02,0,337.68,5.63,43200011,1,49.94
78,10/3/2022 3:30,0,1080.37,85.48,0.38,0,251.99,23.93,2931.05,1,63.75,0.38,3298.05,0,59.09,0.25,43200011,1,49.88
77,10/3/2022 3:33,0,1080.38,85.03,0.97,0,250.57,1370.78,2931.06,1,1406,0.97,3298.05,0,312.73,5.61,43200011,1,49.86
76,10/3/2022 3:36,0,1080.4,85.65,0.37,0,252.48,22.55,2931.12,1,61.3,0.37,3298.12,0,57,0.24,43200011,1,49.94
75,10/3/2022 3:39,0,1080.4,85.69,0.37,0,252.58,22.85,2931.12,1,61.88,0.37,3298.12,0,57.51,0.24,43200011,1,49.96
74,10/3/2022 3:42,0,1080.41,85.4,0.97,0,251.69,1389.71,2931.14,1,1431.11,0.97,3298.14,0,341.71,5.69,43200011,1,49.96
