,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,0.65,22.27,19.47,1.0,0.13,89.5,28.89,29.75,50.05,0.0,223.37,1.0,0.0,2022-10-02 23:57:29,95.06,16220095,0.0,1.0,0.0
8,0.59,23.26,17.17,1.0,0.13,89.51,28.89,29.1,50.01,0.0,222.47,1.0,0.0,2022-10-03 00:00:29,95.07,16220095,0.0,1.0,0.0
7,0.58,23.18,16.88,1.0,0.13,89.51,28.89,28.87,49.91,0.0,221.36,1.0,0.0,2022-10-03 00:03:29,95.07,16220095,0.0,1.0,0.0
6,0.59,23.22,17.0,1.0,0.13,89.51,28.89,28.97,49.92,0.0,222.13,1.0,0.0,2022-10-03 00:06:29,95.08,16220095,0.0,1.0,0.0
5,0.58,22.92,16.64,1.0,0.13,89.52,28.9,28.51,50.0,0.0,221.35,1.0,0.0,2022-10-03 00:09:29,95.08,16220095,0.0,1.0,0.0
4,0.59,22.82,16.66,1.0,0.13,89.52,28.9,28.45,50.01,0.0,220.86,1.0,0.0,2022-10-03 00:12:29,95.08,16220095,0.0,1.0,0.0
3,0.58,23.13,16.72,1.0,0.13,89.52,28.9,28.73,49.99,0.0,222.37,1.0,0.0,2022-10-03 00:15:29,95.08,16220095,0.0,1.0,0.0
2,0.58,22.95,16.56,1.0,0.13,89.52,28.9,28.49,49.92,0.0,222.6,1.0,0.0,2022-10-03 00:18:29,95.08,16220095,0.0,1.0,0.0
1,0.58,22.83,16.5,1.0,0.13,89.52,28.9,28.36,49.9,0.0,221.55,1.0,0.0,2022-10-03 00:21:29,95.08,16220095,0.0,1.0,0.0
0,0.58,22.94,16.51,1.0,0.13,89.52,28.9,28.45,49.93,0.0,222.3,1.0,0.0,2022-10-03 00:24:29,95.08,16220095,0.0,1.0,0.0
19,0.58,22.85,16.42,1.0,0.13,89.52,28.9,28.32,49.97,0.0,221.98,1.0,0.0,2022-10-03 00:27:29,95.09,16220095,0.0,1.0,0.0
18,0.58,22.94,16.47,1.0,0.13,89.52,28.9,28.43,49.99,0.0,222.11,1.0,0.0,2022-10-03 00:30:29,95.09,16220095,0.0,1.0,0.0
17,0.58,23.0,16.46,1.0,0.13,89.52,28.9,28.47,49.99,0.0,222.46,1.0,0.0,2022-10-03 00:33:29,95.09,16220095,0.0,1.0,0.0
16,0.58,23.0,16.55,1.0,0.13,89.52,28.91,28.53,49.97,0.0,221.48,1.0,0.0,2022-10-03 00:37:14,95.09,16220095,0.0,1.0,0.0
15,0.58,22.85,16.39,1.0,0.13,89.52,28.91,28.31,49.99,0.0,221.87,1.0,0.0,2022-10-03 00:39:07,95.09,16220095,0.0,1.0,0.0
14,0.58,23.32,16.64,1.0,0.13,89.52,28.91,28.84,50.01,0.0,223.89,1.0,0.0,2022-10-03 00:42:16,95.09,16220095,0.0,1.0,0.0
13,0.95,323.63,1041.95,1.0,4.99,89.54,28.91,1091.05,49.97,0.0,218.56,0.95,0.0,2022-10-03 00:45:16,95.11,16220095,0.0,1.0,0.0
12,0.96,322.86,1087.57,1.0,5.2,89.59,28.93,1134.48,49.94,0.0,218.32,0.96,0.0,2022-10-03 00:48:16,95.17,16220095,0.0,1.0,0.0
11,0.96,311.89,1095.63,1.0,5.24,89.65,28.95,1139.16,49.98,0.0,217.38,0.96,0.0,2022-10-03 00:51:16,95.22,16220095,0.0,1.0,0.0
10,0.96,315.12,1105.34,1.0,5.28,89.7,28.96,1149.38,50.02,0.0,217.62,0.96,0.0,2022-10-03 00:54:16,95.28,16220095,0.0,1.0,0.0
29,0.96,323.89,1125.89,1.0,5.36,89.76,28.98,1171.55,50.01,0.0,218.54,0.96,0.0,2022-10-03 00:57:16,95.34,16220095,0.0,1.0,0.0
28,0.65,22.31,19.44,1.0,0.13,89.78,28.99,29.76,50.02,0.0,223.43,1.0,0.0,2022-10-03 01:00:16,95.36,16220095,0.0,1.0,0.0
27,0.96,316.95,1089.3,1.0,5.23,89.81,29.0,1134.48,49.91,0.0,217.05,0.96,0.0,2022-10-03 01:03:16,95.4,16220095,0.0,1.0,0.0
26,0.59,23.19,17.19,1.0,0.13,89.83,29.0,29.06,49.88,0.0,221.46,1.0,0.0,2022-10-03 01:06:16,95.42,16220095,0.0,1.0,0.0
25,0.59,23.17,17.02,1.0,0.13,89.83,29.0,28.94,49.92,0.0,221.95,1.0,0.0,2022-10-03 01:09:16,95.42,16220095,0.0,1.0,0.0
24,0.58,23.13,16.67,1.0,0.13,89.84,29.0,28.7,49.89,0.0,222.86,1.0,0.0,2022-10-03 01:12:16,95.42,16220095,0.0,1.0,0.0
23,0.58,22.99,16.73,1.0,0.13,89.84,29.01,28.62,49.88,0.0,221.53,1.0,0.0,2022-10-03 01:15:16,95.42,16220095,0.0,1.0,0.0
22,0.58,22.98,16.57,1.0,0.13,89.84,29.01,28.52,49.9,0.0,221.4,1.0,0.0,2022-10-03 01:18:16,95.42,16220095,0.0,1.0,0.0
21,0.58,22.69,16.3,1.0,0.13,89.84,29.01,28.12,49.91,0.0,221.76,1.0,0.0,2022-10-03 01:21:16,95.42,16220095,0.0,1.0,0.0
20,0.57,22.78,16.15,1.0,0.13,89.84,29.01,28.11,49.92,0.0,221.69,1.0,0.0,2022-10-03 01:24:16,95.43,16220095,0.0,1.0,0.0
39,0.58,23.02,16.5,1.0,0.13,89.84,29.01,28.51,49.97,0.0,222.74,1.0,0.0,2022-10-03 01:27:16,95.43,16220095,0.0,1.0,0.0
38,0.58,22.84,16.47,1.0,0.13,89.84,29.01,28.35,49.93,0.0,221.45,1.0,0.0,2022-10-03 01:30:16,95.43,16220095,0.0,1.0,0.0
37,0.58,23.05,16.54,1.0,0.13,89.84,29.01,28.56,49.91,0.0,221.75,1.0,0.0,2022-10-03 01:33:16,95.43,16220095,0.0,1.0,0.0
36,0.58,22.96,16.38,1.0,0.13,89.84,29.01,28.39,49.95,0.0,222.49,1.0,0.0,2022-10-03 01:36:16,95.43,16220095,0.0,1.0,0.0
35,0.58,22.54,16.27,1.0,0.13,89.84,29.01,27.98,49.91,0.0,221.38,1.0,0.0,2022-10-03 01:39:16,95.43,16220095,0.0,1.0,0.0
