,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,2022-10-02 23:57:19,0.0,0.0,0.0,1.0,0.0,23.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,44.16
8,2022-10-03 00:00:19,0.0,0.0,0.0,1.0,0.0,22.17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
7,2022-10-03 00:03:19,0.0,0.0,0.0,1.0,0.0,23.48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,47.41
6,2022-10-03 00:06:19,0.0,0.0,0.0,1.0,0.0,22.27,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,46.58
5,2022-10-03 00:09:19,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,46.15
4,2022-10-03 00:12:19,0.0,0.0,0.0,1.0,0.0,21.94,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,45.35
3,2022-10-03 00:15:19,0.0,0.0,0.0,1.0,0.0,23.22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
2,2022-10-03 00:18:19,0.0,0.0,0.0,1.0,0.0,23.42,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,47.57
1,2022-10-03 00:21:19,0.0,0.0,0.0,1.0,0.0,22.96,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
0,2022-10-03 00:24:19,0.0,0.0,0.0,1.0,0.0,23.16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,48.83
19,2022-10-03 00:27:19,0.0,0.0,0.0,1.0,0.0,23.21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,44.75
18,2022-10-03 00:30:19,0.0,0.0,0.0,1.0,0.0,22.56,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
17,2022-10-03 00:33:19,0.0,0.0,0.0,1.0,0.0,23.36,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
16,2022-10-03 00:36:19,0.0,0.0,0.0,1.0,0.0,23.32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,0.0
15,2022-10-03 00:39:19,0.0,0.0,0.0,1.0,0.0,22.72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16220232,1.0,45.45
