,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,2022-10-02 23:57:07,0.0,56.66,0.0,0.59,0.0,244.69,33.88,81.86,1.0,57.06,1.0,100.62,0.0,45.45,0.23,16220181,1.0,50.05
8,2022-10-03 00:00:07,0.0,56.67,0.0,0.8,0.0,233.27,1378.18,81.86,1.0,1723.4,0.8,100.63,0.0,1034.75,7.39,16220181,1.0,50.01
7,2022-10-03 00:03:07,0.0,56.72,0.0,0.83,0.0,232.38,1534.84,81.94,1.0,1844.63,0.83,100.72,0.0,1023.2,7.94,16220181,1.0,49.94
6,2022-10-03 00:06:07,0.0,56.73,0.0,0.74,0.0,241.24,41.36,81.94,1.0,56.16,1.0,100.72,0.0,37.62,0.23,16220181,1.0,49.93
5,2022-10-03 00:09:07,0.0,56.78,0.0,0.84,0.0,230.81,1526.7,82.02,1.0,1824.88,0.84,100.81,0.0,999.69,7.91,16220181,1.0,50.0
4,2022-10-03 00:12:07,0.0,56.78,0.0,0.74,0.0,241.01,41.83,82.02,1.0,56.78,1.0,100.82,0.0,38.01,0.24,16220181,1.0,50.04
3,2022-10-03 00:15:07,0.0,56.83,0.0,0.84,0.0,229.82,1517.98,82.09,1.0,1809.79,0.84,100.91,0.0,985.43,7.88,16220181,1.0,50.0
2,2022-10-03 00:18:07,0.0,56.83,0.0,0.74,0.0,243.58,43.27,82.1,1.0,58.17,1.0,100.91,0.0,38.48,0.24,16220181,1.0,49.92
1,2022-10-03 00:21:07,0.0,56.86,0.0,0.6,0.0,239.98,33.27,82.14,1.0,55.58,1.0,100.96,0.0,44.08,0.23,16220181,1.0,49.89
0,2022-10-03 00:24:07,0.0,56.86,0.0,0.59,0.0,241.54,32.92,82.14,1.0,55.75,1.0,100.96,0.0,44.54,0.23,16220181,1.0,49.94
19,2022-10-03 00:27:07,0.0,56.86,0.0,0.61,0.0,241.99,34.66,82.14,1.0,57.21,1.0,100.97,0.0,45.05,0.24,16220181,1.0,49.99
18,2022-10-03 00:30:07,0.0,56.87,0.0,0.62,0.0,236.81,34.36,82.14,1.0,55.51,1.0,100.97,0.0,43.16,0.23,16220181,1.0,50.0
17,2022-10-03 00:33:07,0.0,56.87,0.0,0.59,0.0,242.1,33.31,82.14,1.0,56.07,1.0,100.97,0.0,44.66,0.23,16220181,1.0,49.98
16,2022-10-03 00:36:07,0.0,56.87,0.0,0.59,0.0,242.59,33.29,82.14,1.0,56.18,1.0,100.98,0.0,44.81,0.23,16220181,1.0,50.0
15,2022-10-03 00:39:07,0.0,56.87,0.0,0.61,0.0,236.96,33.13,82.15,1.0,54.5,1.0,100.98,0.0,42.85,0.23,16220181,1.0,50.0
14,2022-10-03 00:42:07,0.0,56.87,0.0,0.59,0.0,245.07,33.67,82.15,1.0,57.15,1.0,100.98,0.0,45.71,0.23,16220181,1.0,50.02
13,2022-10-03 00:45:07,0.0,56.88,0.0,0.59,0.0,244.47,33.66,82.15,1.0,56.91,1.0,100.98,0.0,45.43,0.23,16220181,1.0,49.99
12,2022-10-03 00:48:07,0.0,56.88,0.0,0.6,0.0,240.93,33.34,82.15,1.0,55.61,1.0,100.99,0.0,44.06,0.23,16220181,1.0,49.95
11,2022-10-03 00:51:07,0.0,56.88,0.0,0.6,0.0,240.92,33.48,82.15,1.0,55.8,1.0,100.99,0.0,44.19,0.23,16220181,1.0,49.98
10,2022-10-03 00:54:07,0.0,56.88,0.0,0.6,0.0,238.64,32.98,82.15,1.0,54.7,1.0,100.99,0.0,43.2,0.23,16220181,1.0,50.02
29,2022-10-03 00:57:07,0.0,56.89,0.0,0.6,0.0,241.77,33.48,82.16,1.0,55.99,1.0,101.0,0.0,44.43,0.23,16220181,1.0,50.04
28,2022-10-03 01:00:07,0.0,56.89,0.0,0.59,0.0,245.32,33.91,82.16,1.0,57.21,1.0,101.0,0.0,45.62,0.23,16220181,1.0,50.04
27,2022-10-03 01:03:07,0.0,56.89,0.0,0.61,0.0,236.71,32.94,82.16,1.0,54.16,1.0,101.0,0.0,42.56,0.23,16220181,1.0,49.93
26,2022-10-03 01:06:07,0.0,56.91,0.0,0.83,0.0,230.36,1481.86,82.19,1.0,1789.25,0.83,101.04,0.0,1002.75,7.77,16220181,1.0,49.89
25,2022-10-03 01:09:07,0.0,56.95,0.0,0.76,0.0,240.27,43.55,82.25,1.0,57.66,1.0,101.11,0.0,37.42,0.24,16220181,1.0,49.94
24,2022-10-03 01:12:07,0.0,56.96,0.0,0.83,0.0,228.08,1462.86,82.26,1.0,1753.11,0.83,101.13,0.0,966.15,7.69,16220181,1.0,49.91
23,2022-10-03 01:15:07,0.0,57.0,0.0,0.75,0.0,242.73,43.19,82.33,1.0,57.96,1.0,101.21,0.0,38.27,0.24,16220181,1.0,49.9
22,2022-10-03 01:18:07,0.0,57.01,0.0,0.84,0.0,227.38,1453.81,82.34,1.0,1738.46,0.84,101.22,0.0,953.24,7.65,16220181,1.0,49.91
21,2022-10-03 01:21:07,0.0,57.06,0.0,0.76,0.0,238.47,43.02,82.4,1.0,56.37,1.0,101.3,0.0,36.07,0.24,16220181,1.0,49.92
20,2022-10-03 01:24:07,0.0,57.06,0.0,0.74,0.0,240.55,41.95,82.41,1.0,56.38,1.0,101.3,0.0,37.3,0.23,16220181,1.0,49.94
39,2022-10-03 01:27:07,0.0,57.07,0.0,0.62,0.0,231.2,32.6,82.43,1.0,52.71,1.0,101.32,0.0,41.01,0.23,16220181,1.0,49.99
38,2022-10-03 01:30:07,0.0,57.07,0.0,0.61,0.0,236.48,33.12,82.43,1.0,54.39,1.0,101.33,0.0,42.71,0.23,16220181,1.0,49.95
37,2022-10-03 01:33:07,0.0,57.08,0.0,0.61,0.0,234.73,32.76,82.43,1.0,53.8,1.0,101.33,0.0,42.25,0.23,16220181,1.0,49.94
36,2022-10-03 01:36:07,0.0,57.08,0.0,0.61,0.0,237.03,34.04,82.43,1.0,55.37,1.0,101.33,0.0,43.23,0.23,16220181,1.0,49.94
35,2022-10-03 01:39:07,0.0,57.08,0.0,0.59,0.0,243.08,33.24,82.43,1.0,56.3,1.0,101.33,0.0,44.98,0.23,16220181,1.0,49.94
34,2022-10-03 01:42:07,0.0,57.08,0.0,0.6,0.0,237.17,32.74,82.43,1.0,54.26,1.0,101.34,0.0,42.84,0.23,16220181,1.0,49.96
33,2022-10-03 01:45:07,0.0,57.08,0.0,0.61,0.0,235.78,32.81,82.44,1.0,53.95,1.0,101.34,0.0,42.39,0.23,16220181,1.0,50.0
32,2022-10-03 01:48:07,0.0,57.09,0.0,0.62,0.0,239.13,35.07,82.44,1.0,56.72,1.0,101.34,0.0,44.13,0.24,16220181,1.0,49.99
31,2022-10-03 01:51:07,0.0,57.09,0.0,0.6,0.0,238.74,33.05,82.44,1.0,54.91,1.0,101.35,0.0,43.41,0.23,16220181,1.0,50.05
30,2022-10-03 01:54:07,0.0,57.09,0.0,0.62,0.0,240.25,35.41,82.44,1.0,57.28,1.0,101.35,0.0,44.57,0.24,16220181,1.0,50.02
49,2022-10-03 01:57:07,0.0,57.09,0.0,0.62,0.0,232.92,32.44,82.44,1.0,52.73,1.0,101.35,0.0,41.16,0.23,16220181,1.0,50.0
48,2022-10-03 02:00:07,0.0,57.1,0.0,0.6,0.0,239.42,33.21,82.44,1.0,55.16,1.0,101.35,0.0,43.61,0.23,16220181,1.0,49.99
47,2022-10-03 02:03:07,0.0,57.1,0.0,0.6,0.0,242.04,33.5,82.45,1.0,56.06,1.0,101.36,0.0,44.5,0.23,16220181,1.0,50.02
46,2022-10-03 02:06:07,0.0,57.1,0.0,0.6,0.0,240.59,33.43,82.45,1.0,55.53,1.0,101.36,0.0,43.9,0.23,16220181,1.0,50.02
45,2022-10-03 02:09:07,0.0,57.1,0.0,0.59,0.0,244.06,33.73,82.45,1.0,56.82,1.0,101.36,0.0,45.27,0.23,16220181,1.0,49.96
44,2022-10-03 02:12:07,0.0,57.14,0.0,0.82,0.0,232.19,1492.36,82.5,1.0,1809.87,0.82,101.43,0.0,1023.97,7.79,16220181,1.0,50.0
43,2022-10-03 02:15:07,0.0,57.16,0.0,0.76,0.0,236.64,42.13,82.53,1.0,55.28,1.0,101.47,0.0,35.43,0.23,16220181,1.0,50.04
42,2022-10-03 02:18:07,0.0,57.2,0.0,0.83,0.0,230.3,1496.94,82.58,1.0,1795.97,0.83,101.52,0.0,992.31,7.8,16220181,1.0,50.01
41,2022-10-03 02:21:07,0.0,57.22,0.0,0.75,0.0,239.2,42.36,82.61,1.0,56.36,1.0,101.56,0.0,36.8,0.24,16220181,1.0,50.0
40,2022-10-03 02:24:07,0.0,57.25,0.0,0.82,0.0,233.2,1509.1,82.65,1.0,1830.15,0.82,101.62,0.0,1035.42,7.85,16220181,1.0,50.0
59,2022-10-03 02:27:07,0.0,57.27,0.0,0.74,0.0,249.16,44.49,82.69,1.0,60.5,1.0,101.65,0.0,40.58,0.24,16220181,1.0,50.02
58,2022-10-03 02:30:07,0.0,57.29,0.0,0.61,0.0,242.07,35.54,82.71,1.0,58.19,1.0,101.69,0.0,45.62,0.24,16220181,1.0,50.03
57,2022-10-03 02:33:07,0.0,57.29,0.0,0.59,0.0,246.02,34.62,82.72,1.0,58.45,1.0,101.69,0.0,46.63,0.24,16220181,1.0,49.98
