,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.05,0.0,221.69,1.0,0.0,2022-10-02 23:57:05,207.7,16220153,0.0,1.0,0.0
8,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,218.51,1.0,0.0,2022-10-03 00:00:05,207.7,16220153,0.0,1.0,0.0
7,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.92,0.0,218.19,1.0,0.0,2022-10-03 00:03:05,207.7,16220153,0.0,1.0,0.0
6,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.93,0.0,218.25,1.0,0.0,2022-10-03 00:06:05,207.7,16220153,0.0,1.0,0.0
5,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.99,0.0,218.74,1.0,0.0,2022-10-03 00:09:05,207.7,16220153,0.0,1.0,0.0
4,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,218.67,1.0,0.0,2022-10-03 00:12:05,207.7,16220153,0.0,1.0,0.0
3,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,218.56,1.0,0.0,2022-10-03 00:15:05,207.7,16220153,0.0,1.0,0.0
2,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.91,0.0,218.62,1.0,0.0,2022-10-03 00:18:05,207.7,16220153,0.0,1.0,0.0
1,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.87,0.0,218.14,1.0,0.0,2022-10-03 00:21:05,207.7,16220153,0.0,1.0,0.0
0,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.92,0.0,218.72,1.0,0.0,2022-10-03 00:24:05,207.7,16220153,0.0,1.0,0.0
19,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,218.73,1.0,0.0,2022-10-03 00:27:05,207.7,16220153,0.0,1.0,0.0
18,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,218.88,1.0,0.0,2022-10-03 00:30:05,207.7,16220153,0.0,1.0,0.0
17,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.21,1.0,0.0,2022-10-03 00:33:05,207.7,16220153,0.0,1.0,0.0
16,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,219.31,1.0,0.0,2022-10-03 00:36:05,207.7,16220153,0.0,1.0,0.0
15,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,219.09,1.0,0.0,2022-10-03 00:39:05,207.7,16220153,0.0,1.0,0.0
14,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.02,0.0,219.28,1.0,0.0,2022-10-03 00:42:05,207.7,16220153,0.0,1.0,0.0
13,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,219.65,1.0,0.0,2022-10-03 00:45:05,207.7,16220153,0.0,1.0,0.0
12,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,219.12,1.0,0.0,2022-10-03 00:48:05,207.7,16220153,0.0,1.0,0.0
11,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.46,1.0,0.0,2022-10-03 00:51:05,207.7,16220153,0.0,1.0,0.0
10,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,220.06,1.0,0.0,2022-10-03 00:54:05,207.7,16220153,0.0,1.0,0.0
29,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,219.79,1.0,0.0,2022-10-03 00:57:05,207.7,16220153,0.0,1.0,0.0
28,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,219.68,1.0,0.0,2022-10-03 01:00:05,207.7,16220153,0.0,1.0,0.0
27,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.93,0.0,219.2,1.0,0.0,2022-10-03 01:03:05,207.7,16220153,0.0,1.0,0.0
26,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.89,0.0,218.85,1.0,0.0,2022-10-03 01:06:05,207.7,16220153,0.0,1.0,0.0
25,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.93,0.0,219.65,1.0,0.0,2022-10-03 01:09:05,207.7,16220153,0.0,1.0,0.0
24,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.91,0.0,219.52,1.0,0.0,2022-10-03 01:12:05,207.7,16220153,0.0,1.0,0.0
23,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.9,0.0,219.3,1.0,0.0,2022-10-03 01:15:05,207.7,16220153,0.0,1.0,0.0
22,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.91,0.0,219.43,1.0,0.0,2022-10-03 01:18:05,207.7,16220153,0.0,1.0,0.0
21,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.9,0.0,219.84,1.0,0.0,2022-10-03 01:21:05,207.7,16220153,0.0,1.0,0.0
20,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.92,0.0,219.8,1.0,0.0,2022-10-03 01:24:05,207.7,16220153,0.0,1.0,0.0
39,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,220.36,1.0,0.0,2022-10-03 01:27:05,207.7,16220153,0.0,1.0,0.0
38,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.95,0.0,220.08,1.0,0.0,2022-10-03 01:30:05,207.7,16220153,0.0,1.0,0.0
37,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,220.1,1.0,0.0,2022-10-03 01:33:05,207.7,16220153,0.0,1.0,0.0
36,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,219.75,1.0,0.0,2022-10-03 01:36:05,207.7,16220153,0.0,1.0,0.0
35,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.93,0.0,219.62,1.0,0.0,2022-10-03 01:39:05,207.7,16220153,0.0,1.0,0.0
34,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.95,0.0,219.81,1.0,0.0,2022-10-03 01:42:05,207.7,16220153,0.0,1.0,0.0
33,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,220.12,1.0,0.0,2022-10-03 01:45:05,207.7,16220153,0.0,1.0,0.0
32,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.98,0.0,220.09,1.0,0.0,2022-10-03 01:48:05,207.7,16220153,0.0,1.0,0.0
31,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.05,0.0,220.58,1.0,0.0,2022-10-03 01:51:05,207.7,16220153,0.0,1.0,0.0
30,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.02,0.0,220.39,1.0,0.0,2022-10-03 01:54:05,207.7,16220153,0.0,1.0,0.0
49,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,220.55,1.0,0.0,2022-10-03 01:57:05,207.7,16220153,0.0,1.0,0.0
48,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.99,0.0,220.35,1.0,0.0,2022-10-03 02:00:05,207.7,16220153,0.0,1.0,0.0
47,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.02,0.0,220.73,1.0,0.0,2022-10-03 02:03:05,207.7,16220153,0.0,1.0,0.0
46,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,220.5,1.0,0.0,2022-10-03 02:06:05,207.7,16220153,0.0,1.0,0.0
45,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.96,0.0,220.39,1.0,0.0,2022-10-03 02:09:05,207.7,16220153,0.0,1.0,0.0
44,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,221.07,1.0,0.0,2022-10-03 02:12:05,207.7,16220153,0.0,1.0,0.0
43,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,221.2,1.0,0.0,2022-10-03 02:15:05,207.7,16220153,0.0,1.0,0.0
42,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,220.95,1.0,0.0,2022-10-03 02:18:05,207.7,16220153,0.0,1.0,0.0
41,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,221.13,1.0,0.0,2022-10-03 02:21:05,207.7,16220153,0.0,1.0,0.0
40,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,221.37,1.0,0.0,2022-10-03 02:24:05,207.7,16220153,0.0,1.0,0.0
59,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.02,0.0,218.78,1.0,0.0,2022-10-03 02:27:05,207.7,16220153,0.0,1.0,0.0
58,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,218.86,1.0,0.0,2022-10-03 02:30:05,207.7,16220153,0.0,1.0,0.0
57,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.96,0.0,218.49,1.0,0.0,2022-10-03 02:33:05,207.7,16220153,0.0,1.0,0.0
56,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.96,0.0,218.22,1.0,0.0,2022-10-03 02:36:05,207.7,16220153,0.0,1.0,0.0
55,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.99,0.0,218.26,1.0,0.0,2022-10-03 02:39:05,207.7,16220153,0.0,1.0,0.0
54,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.02,0.0,218.2,1.0,0.0,2022-10-03 02:42:05,207.7,16220153,0.0,1.0,0.0
53,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,218.04,1.0,0.0,2022-10-03 02:45:05,207.7,16220153,0.0,1.0,0.0
52,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.96,0.0,218.21,1.0,0.0,2022-10-03 02:48:05,207.7,16220153,0.0,1.0,0.0
51,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,218.3,1.0,0.0,2022-10-03 02:51:05,207.7,16220153,0.0,1.0,0.0
50,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,218.42,1.0,0.0,2022-10-03 02:54:05,207.7,16220153,0.0,1.0,0.0
69,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.01,0.0,218.67,1.0,0.0,2022-10-03 02:57:05,207.7,16220153,0.0,1.0,0.0
68,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.03,0.0,218.71,1.0,0.0,2022-10-03 03:00:05,207.7,16220153,0.0,1.0,0.0
67,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,218.62,1.0,0.0,2022-10-03 03:03:05,207.7,16220153,0.0,1.0,0.0
66,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.95,0.0,218.35,1.0,0.0,2022-10-03 03:06:05,207.7,16220153,0.0,1.0,0.0
65,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.99,0.0,218.46,1.0,0.0,2022-10-03 03:09:05,207.7,16220153,0.0,1.0,0.0
64,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,218.48,1.0,0.0,2022-10-03 03:12:05,207.7,16220153,0.0,1.0,0.0
63,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,218.57,1.0,0.0,2022-10-03 03:15:05,207.7,16220153,0.0,1.0,0.0
62,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,50.0,0.0,218.77,1.0,0.0,2022-10-03 03:18:05,207.7,16220153,0.0,1.0,0.0
61,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.98,0.0,219.05,1.0,0.0,2022-10-03 03:21:05,207.7,16220153,0.0,1.0,0.0
60,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.12,1.0,0.0,2022-10-03 03:24:05,207.7,16220153,0.0,1.0,0.0
79,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.95,0.0,219.11,1.0,0.0,2022-10-03 03:27:05,207.7,16220153,0.0,1.0,0.0
78,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.9,0.0,218.95,1.0,0.0,2022-10-03 03:30:05,207.7,16220153,0.0,1.0,0.0
77,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.87,0.0,218.54,1.0,0.0,2022-10-03 03:33:05,207.7,16220153,0.0,1.0,0.0
76,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,219.22,1.0,0.0,2022-10-03 03:36:05,207.7,16220153,0.0,1.0,0.0
75,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.33,1.0,0.0,2022-10-03 03:39:05,207.7,16220153,0.0,1.0,0.0
74,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.25,1.0,0.0,2022-10-03 03:42:05,207.7,16220153,0.0,1.0,0.0
73,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,219.41,1.0,0.0,2022-10-03 03:45:05,207.7,16220153,0.0,1.0,0.0
72,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.95,0.0,219.36,1.0,0.0,2022-10-03 03:48:05,207.7,16220153,0.0,1.0,0.0
71,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,218.83,1.0,0.0,2022-10-03 03:51:05,207.7,16220153,0.0,1.0,0.0
70,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.94,0.0,218.96,1.0,0.0,2022-10-03 03:54:05,207.7,16220153,0.0,1.0,0.0
89,1.0,0.0,0.0,1.0,0.0,193.51,65.35,0.0,49.97,0.0,219.02,1.0,0.0,2022-10-03 03:57:05,207.7,16220153,0.0,1.0,0.0
