,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,2022-10-02 23:57:20,0.0,16.42,0.0,0.29,0.0,222.06,12.41,5.43,1.0,42.64,1.0,17.69,0.0,40.38,0.19,16220239,1.0,50.05
8,2022-10-03 00:00:21,0.0,16.42,0.0,0.3,0.0,219.13,12.38,5.43,1.0,41.9,1.0,17.69,0.0,39.63,0.19,16220239,1.0,50.01
7,2022-10-03 00:03:20,0.0,16.43,0.0,0.3,0.0,218.42,12.23,5.44,1.0,41.11,1.0,17.69,0.0,38.85,0.19,16220239,1.0,49.92
6,2022-10-03 00:06:21,0.0,16.43,0.0,0.29,0.0,218.8,12.22,5.44,1.0,41.83,1.0,17.7,0.0,39.61,0.19,16220239,1.0,49.92
5,2022-10-03 00:09:21,0.0,16.43,0.0,0.3,0.0,218.94,12.35,5.44,1.0,41.64,1.0,17.7,0.0,39.37,0.19,16220239,1.0,49.99
4,2022-10-03 00:12:21,0.0,16.43,0.0,0.3,0.0,218.82,12.26,5.44,1.0,41.53,1.0,17.7,0.0,39.28,0.19,16220239,1.0,50.0
3,2022-10-03 00:15:21,0.0,16.43,0.0,0.29,0.0,218.7,12.2,5.44,1.0,41.68,1.0,17.7,0.0,39.46,0.19,16220239,1.0,49.98
2,2022-10-03 00:18:21,0.0,16.44,0.0,0.29,0.0,219.13,11.94,5.44,1.0,41.42,1.0,17.7,0.0,39.26,0.19,16220239,1.0,49.91
1,2022-10-03 00:21:21,0.0,16.44,0.0,0.28,0.0,218.69,11.54,5.44,1.0,40.9,1.0,17.71,0.0,38.84,0.19,16220239,1.0,49.9
0,2022-10-03 00:24:21,0.0,16.44,0.0,0.28,0.0,219.09,11.51,5.44,1.0,41.01,1.0,17.71,0.0,38.97,0.19,16220239,1.0,49.93
19,2022-10-03 00:27:21,0.0,16.44,0.0,0.28,0.0,219.02,11.48,5.44,1.0,40.83,1.0,17.71,0.0,38.79,0.19,16220239,1.0,49.97
18,2022-10-03 00:30:21,0.0,16.44,0.0,0.28,0.0,219.21,11.37,5.44,1.0,41.17,1.0,17.71,0.0,39.17,0.19,16220239,1.0,49.99
17,2022-10-03 00:33:21,0.0,16.45,0.0,0.29,0.0,219.61,11.88,5.44,1.0,41.37,1.0,17.71,0.0,39.24,0.19,16220239,1.0,49.99
16,2022-10-03 00:36:21,0.0,16.45,0.0,0.29,0.0,219.64,12.26,5.44,1.0,41.69,1.0,17.72,0.0,39.45,0.19,16220239,1.0,49.99
