,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,2022-10-02 23:57:19,0.0,79.4,0.0,1.0,0.0,241.49,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,50.05
8,2022-10-03 00:00:20,0.0,79.4,0.0,1.0,0.0,238.15,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,50.01
7,2022-10-03 00:03:19,0.0,79.4,0.0,1.0,0.0,239.05,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.92
6,2022-10-03 00:06:19,0.0,79.4,0.0,1.0,0.0,236.46,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.92
5,2022-10-03 00:09:19,0.0,79.4,0.0,1.0,0.0,240.27,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.99
4,2022-10-03 00:12:19,0.0,79.4,0.0,1.0,0.0,236.02,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,50.01
3,2022-10-03 00:15:19,0.0,79.4,0.0,1.0,0.0,238.29,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.98
2,2022-10-03 00:18:19,0.0,79.4,0.0,1.0,0.0,238.53,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.92
1,2022-10-03 00:21:19,0.0,79.4,0.0,1.0,0.0,238.19,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.9
0,2022-10-03 00:24:19,0.0,79.4,0.0,1.0,0.0,238.54,0.0,166.31,1.0,0.0,1.0,194.59,0.0,0.0,0.0,39190209,1.0,49.93
