,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,0.6,25.15,18.86,1.0,0.13,184.58,105.22,31.44,50.04,0.0,237.43,0.6,0.0,2022-10-02 23:57:14,221.58,40190591,0.0,1.0,0.0
8,0.64,24.01,20.11,1.0,0.13,184.58,105.22,31.51,50.02,0.0,237.98,0.64,0.0,2022-10-03 00:00:20,221.59,40190591,0.0,1.0,0.0
7,0.64,22.73,18.91,1.0,0.12,184.58,105.22,29.74,49.93,0.0,239.1,0.64,0.0,2022-10-03 00:03:14,221.59,40190591,0.0,1.0,0.0
6,0.65,23.0,19.63,1.0,0.13,184.58,105.23,30.42,49.94,0.0,239.12,0.65,0.0,2022-10-03 00:06:14,221.59,40190591,0.0,1.0,0.0
5,0.65,22.53,19.42,1.0,0.13,184.58,105.23,29.91,50.0,0.0,238.16,0.65,0.0,2022-10-03 00:09:14,221.59,40190591,0.0,1.0,0.0
4,0.64,23.29,19.65,1.0,0.13,184.58,105.23,30.65,50.01,0.0,240.99,0.64,0.0,2022-10-03 00:12:14,221.59,40190591,0.0,1.0,0.0
3,0.62,24.22,19.27,1.0,0.13,184.59,105.23,31.14,49.99,0.0,237.36,0.62,0.0,2022-10-03 00:15:14,221.59,40190591,0.0,1.0,0.0
2,0.61,24.63,19.26,1.0,0.13,184.59,105.23,31.46,49.92,0.0,241.99,0.62,0.0,2022-10-03 00:18:14,221.6,40190591,0.0,1.0,0.0
1,0.65,22.84,19.72,1.0,0.13,184.59,105.23,30.36,49.9,0.0,238.64,0.65,0.0,2022-10-03 00:21:14,221.6,40190591,0.0,1.0,0.0
0,0.64,23.15,19.35,1.0,0.13,184.59,105.23,30.35,49.94,0.0,238.62,0.64,0.0,2022-10-03 00:24:14,221.6,40190591,0.0,1.0,0.0
19,0.63,23.8,19.49,1.0,0.13,184.59,105.23,30.95,49.98,0.0,238.3,0.63,0.0,2022-10-03 00:27:14,221.6,40190591,0.0,1.0,0.0
18,0.64,22.63,19.14,1.0,0.13,184.59,105.23,29.82,50.0,0.0,236.66,0.65,0.0,2022-10-03 00:30:14,221.6,40190591,0.0,1.0,0.0
17,0.66,22.93,20.3,1.0,0.13,184.59,105.24,30.8,49.99,0.0,239.84,0.66,0.0,2022-10-03 00:33:14,221.6,40190591,0.0,1.0,0.0
16,0.65,22.78,19.77,1.0,0.13,184.59,105.24,30.33,50.01,0.0,238.48,0.66,0.0,2022-10-03 00:36:14,221.6,40190591,0.0,1.0,0.0
15,0.63,24.21,20.06,1.0,0.13,184.59,105.24,31.63,50.0,0.0,238.16,0.64,0.0,2022-10-03 00:39:14,221.61,40190591,0.0,1.0,0.0
14,0.64,23.1,19.48,1.0,0.13,184.59,105.24,30.39,50.02,0.0,238.94,0.64,0.0,2022-10-03 00:42:14,221.61,40190591,0.0,1.0,0.0
13,0.65,22.73,19.54,1.0,0.13,184.59,105.24,30.15,49.99,0.0,237.78,0.65,0.0,2022-10-03 00:45:14,221.61,40190591,0.0,1.0,0.0
12,0.63,24.29,19.96,1.0,0.13,184.6,105.24,31.63,49.95,0.0,238.15,0.63,0.0,2022-10-03 00:48:14,221.61,40190591,0.0,1.0,0.0
11,0.64,23.14,19.65,1.0,0.13,184.6,105.24,30.53,50.0,0.0,240.04,0.65,0.0,2022-10-03 00:51:14,221.61,40190591,0.0,1.0,0.0
10,0.66,22.81,20.12,1.0,0.13,184.6,105.24,30.59,50.03,0.0,238.97,0.66,0.0,2022-10-03 00:54:14,221.61,40190591,0.0,1.0,0.0
29,0.76,643.61,762.7,1.0,4.22,184.61,105.26,997.97,50.02,0.0,236.44,0.76,0.0,2022-10-03 00:57:14,221.63,40190591,0.0,1.0,0.0
28,0.77,778.48,948.7,1.0,5.13,184.66,105.29,1227.22,50.03,0.0,239.15,0.77,0.0,2022-10-03 01:00:14,221.69,40190591,0.0,1.0,0.0
27,0.73,26.22,27.95,1.0,0.16,184.68,105.31,38.32,49.92,0.0,237.15,0.73,0.0,2022-10-03 01:03:14,221.72,40190591,0.0,1.0,0.0
26,0.6,25.16,18.87,1.0,0.13,184.68,105.32,31.45,49.89,0.0,239.69,0.6,0.0,2022-10-03 01:06:14,221.72,40190591,0.0,1.0,0.0
25,0.63,23.98,19.84,1.0,0.13,184.68,105.32,31.31,49.93,0.0,238.62,0.64,0.0,2022-10-03 01:09:14,221.73,40190591,0.0,1.0,0.0
24,0.62,24.3,19.31,1.0,0.13,184.68,105.32,31.23,49.9,0.0,238.89,0.62,0.0,2022-10-03 01:12:14,221.73,40190591,0.0,1.0,0.0
23,0.64,22.78,19.3,1.0,0.13,184.68,105.32,30.03,49.9,0.0,236.85,0.65,0.0,2022-10-03 01:15:14,221.73,40190591,0.0,1.0,0.0
22,0.64,22.96,19.2,1.0,0.13,184.69,105.33,30.1,49.91,0.0,239.67,0.64,0.0,2022-10-03 01:18:14,221.73,40190591,0.0,1.0,0.0
21,0.61,24.46,19.27,1.0,0.13,184.69,105.33,31.33,49.91,0.0,239.54,0.62,0.0,2022-10-03 01:21:14,221.73,40190591,0.0,1.0,0.0
20,0.64,22.58,19.14,1.0,0.13,184.69,105.33,29.78,49.94,0.0,237.83,0.65,0.0,2022-10-03 01:24:14,221.73,40190591,0.0,1.0,0.0
39,0.64,22.94,19.18,1.0,0.13,184.69,105.33,30.08,49.99,0.0,239.48,0.64,0.0,2022-10-03 01:27:14,221.73,40190591,0.0,1.0,0.0
38,0.63,24.17,19.87,1.0,0.13,184.69,105.33,31.47,49.95,0.0,239.9,0.64,0.0,2022-10-03 01:30:14,221.74,40190591,0.0,1.0,0.0
37,0.63,23.81,19.49,1.0,0.13,184.69,105.33,30.96,49.92,0.0,235.97,0.63,0.0,2022-10-03 01:33:14,221.74,40190591,0.0,1.0,0.0
36,0.64,22.89,19.24,1.0,0.13,184.69,105.33,30.08,49.95,0.0,240.25,0.64,0.0,2022-10-03 01:36:14,221.74,40190591,0.0,1.0,0.0
35,0.64,22.73,19.2,1.0,0.13,184.69,105.33,29.93,49.92,0.0,238.3,0.65,0.0,2022-10-03 01:39:14,221.74,40190591,0.0,1.0,0.0
34,0.65,22.6,19.31,1.0,0.13,184.69,105.33,29.89,49.95,0.0,237.25,0.65,0.0,2022-10-03 01:42:14,221.74,40190591,0.0,1.0,0.0
33,0.65,22.79,19.51,1.0,0.13,184.69,105.34,30.17,50.0,0.0,237.97,0.65,0.0,2022-10-03 01:45:14,221.74,40190591,0.0,1.0,0.0
32,0.65,22.84,19.5,1.0,0.13,184.7,105.34,30.21,49.99,0.0,237.5,0.65,0.0,2022-10-03 01:48:14,221.75,40190591,0.0,1.0,0.0
31,0.64,22.95,19.37,1.0,0.13,184.7,105.34,30.21,50.06,0.0,237.51,0.64,0.0,2022-10-03 01:51:14,221.75,40190591,0.0,1.0,0.0
30,0.65,23.0,19.95,1.0,0.13,184.7,105.34,30.62,50.02,0.0,238.48,0.66,0.0,2022-10-03 01:54:14,221.75,40190591,0.0,1.0,0.0
49,0.64,24.07,20.06,1.0,0.13,184.7,105.34,31.52,50.0,0.0,237.34,0.64,0.0,2022-10-03 01:57:14,221.75,40190591,0.0,1.0,0.0
48,0.64,23.33,19.77,1.0,0.13,184.7,105.34,30.76,50.01,0.0,240.31,0.65,0.0,2022-10-03 02:00:14,221.75,40190591,0.0,1.0,0.0
47,0.65,22.81,19.58,1.0,0.13,184.7,105.34,30.24,50.03,0.0,237.73,0.65,0.0,2022-10-03 02:03:14,221.75,40190591,0.0,1.0,0.0
46,0.73,359.42,389.5,1.0,2.24,184.7,105.35,529.99,50.01,0.0,237.07,0.73,0.0,2022-10-03 02:06:14,221.76,40190591,0.0,1.0,0.0
45,0.8,764.66,1011.89,1.0,5.36,184.74,105.38,1268.32,49.96,0.0,236.45,0.8,0.0,2022-10-03 02:09:14,221.81,40190591,0.0,1.0,0.0
44,0.76,46.74,54.5,1.0,0.3,184.78,105.41,71.8,50.01,0.0,240.3,0.76,0.0,2022-10-03 02:12:14,221.86,40190591,0.0,1.0,0.0
43,0.73,25.77,27.82,1.0,0.16,184.78,105.41,37.92,50.04,0.0,238.19,0.73,0.0,2022-10-03 02:15:14,221.86,40190591,0.0,1.0,0.0
42,0.33,56.49,19.96,1.0,0.25,184.79,105.41,59.91,50.02,0.0,238.88,0.33,0.0,2022-10-03 02:18:14,221.86,40190591,0.0,1.0,0.0
41,0.63,22.94,18.99,1.0,0.12,184.79,105.41,29.96,50.01,0.0,240.81,0.64,0.0,2022-10-03 02:21:14,221.87,40190591,0.0,1.0,0.0
40,0.64,22.64,19.27,1.0,0.13,184.79,105.41,29.91,50.0,0.0,238.13,0.65,0.0,2022-10-03 02:24:14,221.87,40190591,0.0,1.0,0.0
59,0.62,24.2,19.39,1.0,0.13,184.79,105.41,31.2,50.01,0.0,238.57,0.63,0.0,2022-10-03 02:27:14,221.87,40190591,0.0,1.0,0.0
58,0.62,23.96,19.3,1.0,0.13,184.79,105.41,30.95,50.01,0.0,238.08,0.63,0.0,2022-10-03 02:30:14,221.87,40190591,0.0,1.0,0.0
57,0.64,23.1,19.52,1.0,0.13,184.79,105.42,30.42,49.97,0.0,239.91,0.65,0.0,2022-10-03 02:33:14,221.87,40190591,0.0,1.0,0.0
56,0.65,22.75,19.88,1.0,0.13,184.79,105.42,30.39,49.98,0.0,237.43,0.66,0.0,2022-10-03 02:36:14,221.87,40190591,0.0,1.0,0.0
55,0.62,23.88,19.2,1.0,0.13,184.79,105.42,30.83,50.01,0.0,237.17,0.63,0.0,2022-10-03 02:39:14,221.88,40190591,0.0,1.0,0.0
54,0.64,22.82,19.31,1.0,0.13,184.79,105.42,30.07,50.02,0.0,238.64,0.65,0.0,2022-10-03 02:42:14,221.88,40190591,0.0,1.0,0.0
53,0.65,22.95,19.68,1.0,0.13,184.79,105.42,30.41,49.99,0.0,239.05,0.65,0.0,2022-10-03 02:45:14,221.88,40190591,0.0,1.0,0.0
52,0.62,23.92,19.07,1.0,0.13,184.8,105.42,30.77,49.97,0.0,236.73,0.62,0.0,2022-10-03 02:48:14,221.88,40190591,0.0,1.0,0.0
51,0.63,24.42,19.97,1.0,0.13,184.8,105.42,31.73,50.02,0.0,239.69,0.63,0.0,2022-10-03 02:51:14,221.88,40190591,0.0,1.0,0.0
50,0.64,23.31,19.74,1.0,0.13,184.8,105.42,30.73,50.05,0.0,240.06,0.65,0.0,2022-10-03 02:54:14,221.88,40190591,0.0,1.0,0.0
