,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
4,0.22,50.53,11.49,1.0,0.21,58.25,20.4,51.82,49.99,0.0,243.99,1.0,0.0,2022-10-03 01:44:10,63.16,16220209,0.0,1.0,0.0
3,0.22,50.51,11.34,1.0,0.21,58.25,20.4,51.77,49.99,0.0,244.18,1.0,0.0,2022-10-03 01:45:10,63.16,16220209,0.0,1.0,0.0
2,0.99,131.62,790.99,1.0,3.32,58.27,20.4,801.86,49.99,0.0,241.7,0.99,0.0,2022-10-03 01:48:10,63.18,16220209,0.0,1.0,0.0
1,0.99,135.15,789.82,1.0,3.3,58.31,20.41,801.3,50.04,0.0,242.67,0.99,0.0,2022-10-03 01:51:10,63.22,16220209,0.0,1.0,0.0
0,0.16,45.86,7.61,1.0,0.19,58.33,20.41,46.49,50.02,0.0,239.64,1.0,0.0,2022-10-03 01:54:10,63.25,16220209,0.0,1.0,0.0
14,0.16,45.69,7.57,1.0,0.19,58.33,20.41,46.31,49.99,0.0,240.2,1.0,0.0,2022-10-03 01:57:10,63.25,16220209,0.0,1.0,0.0
13,0.97,135.2,534.94,1.0,2.31,58.34,20.42,551.76,49.99,0.0,238.61,0.97,0.0,2022-10-03 02:00:10,63.26,16220209,0.0,1.0,0.0
12,0.98,131.77,735.33,1.0,3.12,58.38,20.42,747.04,50.02,0.0,239.13,0.98,0.0,2022-10-03 02:03:10,63.3,16220209,0.0,1.0,0.0
11,0.98,133.85,624.36,1.0,2.67,58.42,20.43,638.54,50.0,0.0,238.94,0.98,0.0,2022-10-03 02:06:10,63.34,16220209,0.0,1.0,0.0
10,0.17,45.99,7.84,1.0,0.19,58.44,20.43,46.65,49.96,0.0,239.97,1.0,0.0,2022-10-03 02:09:10,63.36,16220209,0.0,1.0,0.0
9,0.16,46.11,7.48,1.0,0.19,58.44,20.44,46.71,49.99,0.0,240.79,1.0,0.0,2022-10-03 02:12:10,63.36,16220209,0.0,1.0,0.0
8,0.97,136.03,521.99,1.0,2.25,58.44,20.44,539.42,50.04,0.0,239.53,0.97,0.0,2022-10-03 02:15:10,63.37,16220209,0.0,1.0,0.0
7,0.98,130.87,724.7,1.0,3.08,58.48,20.44,736.42,50.01,0.0,239.47,0.98,0.0,2022-10-03 02:18:10,63.41,16220209,0.0,1.0,0.0
6,0.98,134.89,615.39,1.0,2.63,58.52,20.45,630.0,50.0,0.0,239.69,0.98,0.0,2022-10-03 02:21:10,63.44,16220209,0.0,1.0,0.0
5,0.16,45.99,7.43,1.0,0.19,58.53,20.46,46.59,49.99,0.0,241.64,1.0,0.0,2022-10-03 02:24:10,63.46,16220209,0.0,1.0,0.0
24,0.15,45.69,7.09,1.0,0.19,58.53,20.46,46.23,50.0,0.0,241.3,1.0,0.0,2022-10-03 02:27:10,63.46,16220209,0.0,1.0,0.0
23,0.97,138.72,517.96,1.0,2.23,58.54,20.46,536.22,50.02,0.0,240.5,0.97,0.0,2022-10-03 02:30:10,63.47,16220209,0.0,1.0,0.0
22,0.98,129.8,680.17,1.0,2.9,58.58,20.47,692.44,49.97,0.0,239.17,0.98,0.0,2022-10-03 02:33:10,63.51,16220209,0.0,1.0,0.0
21,0.97,137.2,538.31,1.0,2.32,58.61,20.48,555.51,49.97,0.0,239.57,0.97,0.0,2022-10-03 02:36:10,63.54,16220209,0.0,1.0,0.0
20,0.16,45.84,7.52,1.0,0.19,58.63,20.48,46.45,50.0,0.0,240.91,1.0,0.0,2022-10-03 02:39:10,63.56,16220209,0.0,1.0,0.0
19,0.16,45.48,7.33,1.0,0.19,58.63,20.48,46.06,50.02,0.0,240.42,1.0,0.0,2022-10-03 02:42:10,63.56,16220209,0.0,1.0,0.0
18,0.97,138.35,517.93,1.0,2.24,58.64,20.49,536.09,49.98,0.0,239.37,0.97,0.0,2022-10-03 02:45:10,63.57,16220209,0.0,1.0,0.0
17,0.98,134.74,681.58,1.0,2.9,58.67,20.49,694.77,49.96,0.0,239.28,0.98,0.0,2022-10-03 02:48:10,63.61,16220209,0.0,1.0,0.0
16,0.97,138.2,540.71,1.0,2.33,58.7,20.5,558.09,50.01,0.0,239.69,0.97,0.0,2022-10-03 02:51:10,63.64,16220209,0.0,1.0,0.0
15,0.16,45.99,7.63,1.0,0.19,58.72,20.51,46.62,50.04,0.0,240.81,1.0,0.0,2022-10-03 02:54:10,63.66,16220209,0.0,1.0,0.0
34,0.15,45.86,7.15,1.0,0.19,58.72,20.51,46.42,50.02,0.0,241.25,1.0,0.0,2022-10-03 02:57:10,63.66,16220209,0.0,1.0,0.0
33,0.97,136.81,518.05,1.0,2.23,58.73,20.51,535.81,50.03,0.0,239.8,0.97,0.0,2022-10-03 03:00:10,63.67,16220209,0.0,1.0,0.0
32,0.98,135.98,681.29,1.0,2.9,58.77,20.52,694.73,50.0,0.0,239.96,0.98,0.0,2022-10-03 03:03:10,63.71,16220209,0.0,1.0,0.0
31,0.97,137.22,537.44,1.0,2.32,58.8,20.53,554.68,49.94,0.0,239.21,0.97,0.0,2022-10-03 03:06:10,63.74,16220209,0.0,1.0,0.0
30,0.16,45.84,7.51,1.0,0.19,58.81,20.53,46.45,49.99,0.0,240.93,1.0,0.0,2022-10-03 03:09:10,63.76,16220209,0.0,1.0,0.0
29,0.16,45.68,7.58,1.0,0.19,58.81,20.53,46.31,49.99,0.0,240.69,1.0,0.0,2022-10-03 03:12:10,63.76,16220209,0.0,1.0,0.0
28,0.99,133.98,770.65,1.0,3.27,58.83,20.54,782.21,49.99,0.0,239.59,0.99,0.0,2022-10-03 03:15:10,63.78,16220209,0.0,1.0,0.0
27,0.98,135.79,617.43,1.0,2.63,58.87,20.55,632.19,49.99,0.0,240.01,0.98,0.0,2022-10-03 03:18:10,63.82,16220209,0.0,1.0,0.0
26,0.95,140.3,443.73,1.0,1.93,58.89,20.55,465.38,49.98,0.0,240.68,0.95,0.0,2022-10-03 03:21:10,63.84,16220209,0.0,1.0,0.0
25,0.16,46.14,7.71,1.0,0.19,58.92,20.56,46.78,49.97,0.0,241.65,1.0,0.0,2022-10-03 03:24:10,63.87,16220209,0.0,1.0,0.0
44,0.16,46.22,7.58,1.0,0.19,58.92,20.56,46.84,49.95,0.0,241.94,1.0,0.0,2022-10-03 03:27:10,63.87,16220209,0.0,1.0,0.0
43,0.97,138.29,517.61,1.0,2.23,58.92,20.56,535.77,49.89,0.0,240.6,0.97,0.0,2022-10-03 03:30:10,63.88,16220209,0.0,1.0,0.0
42,0.98,135.62,634.03,1.0,2.7,58.96,20.57,648.37,49.87,0.0,239.96,0.98,0.0,2022-10-03 03:33:10,63.91,16220209,0.0,1.0,0.0
41,0.95,141.18,450.63,1.0,1.96,58.99,20.58,472.22,49.94,0.0,240.93,0.95,0.0,2022-10-03 03:36:10,63.94,16220209,0.0,1.0,0.0
40,0.16,46.38,7.52,1.0,0.19,59.0,20.58,46.98,49.97,0.0,242.19,1.0,0.0,2022-10-03 03:39:10,63.96,16220209,0.0,1.0,0.0
39,0.16,45.96,7.33,1.0,0.19,59.0,20.59,46.54,49.96,0.0,241.89,1.0,0.0,2022-10-03 03:42:10,63.96,16220209,0.0,1.0,0.0
38,0.96,141.13,513.33,1.0,2.21,59.01,20.59,532.38,49.94,0.0,241.29,0.96,0.0,2022-10-03 03:45:10,63.97,16220209,0.0,1.0,0.0
37,0.98,138.03,631.43,1.0,2.69,59.05,20.6,646.34,49.94,0.0,240.49,0.98,0.0,2022-10-03 03:48:10,64.01,16220209,0.0,1.0,0.0
36,0.95,142.02,454.73,1.0,1.98,59.08,20.6,476.4,49.94,0.0,240.75,0.95,0.0,2022-10-03 03:51:10,64.04,16220209,0.0,1.0,0.0
35,0.16,45.62,7.38,1.0,0.19,59.09,20.61,46.22,49.94,0.0,241.21,1.0,0.0,2022-10-03 03:54:10,64.05,16220209,0.0,1.0,0.0
54,0.16,45.75,7.45,1.0,0.19,59.09,20.61,46.35,49.97,0.0,241.93,1.0,0.0,2022-10-03 03:57:10,64.06,16220209,0.0,1.0,0.0
53,0.96,139.24,512.6,1.0,2.21,59.1,20.61,531.17,50.04,0.0,240.48,0.96,0.0,2022-10-03 04:00:10,64.07,16220209,0.0,1.0,0.0
52,0.98,137.0,629.55,1.0,2.68,59.14,20.62,644.28,50.04,0.0,240.8,0.98,0.0,2022-10-03 04:03:10,64.1,16220209,0.0,1.0,0.0
51,0.95,140.34,451.02,1.0,1.96,59.17,20.63,472.35,50.01,0.0,240.7,0.95,0.0,2022-10-03 04:06:10,64.13,16220209,0.0,1.0,0.0
50,0.16,45.91,7.54,1.0,0.19,59.18,20.63,46.52,49.96,0.0,241.79,1.0,0.0,2022-10-03 04:09:10,64.15,16220209,0.0,1.0,0.0
49,0.17,45.79,7.67,1.0,0.19,59.18,20.64,46.43,49.91,0.0,240.83,1.0,0.0,2022-10-03 04:12:10,64.15,16220209,0.0,1.0,0.0
48,0.96,140.57,511.6,1.0,2.21,59.19,20.64,530.57,49.96,0.0,240.51,0.96,0.0,2022-10-03 04:15:10,64.16,16220209,0.0,1.0,0.0
47,0.98,136.35,629.0,1.0,2.68,59.22,20.65,643.61,50.02,0.0,240.08,0.98,0.0,2022-10-03 04:18:10,64.2,16220209,0.0,1.0,0.0
46,0.95,142.63,455.89,1.0,1.98,59.25,20.65,477.68,50.02,0.0,241.35,0.95,0.0,2022-10-03 04:21:10,64.23,16220209,0.0,1.0,0.0
45,0.16,46.0,7.66,1.0,0.19,59.27,20.66,46.63,49.97,0.0,241.86,1.0,0.0,2022-10-03 04:24:10,64.24,16220209,0.0,1.0,0.0
61,0.16,46.2,7.72,1.0,0.19,59.27,20.66,46.84,49.93,0.0,241.45,1.0,0.0,2022-10-03 04:27:10,64.25,16220209,0.0,1.0,0.0
60,0.97,137.17,516.07,1.0,2.22,59.28,20.67,533.99,50.04,0.0,240.19,0.97,0.0,2022-10-03 04:30:10,64.26,16220209,0.0,1.0,0.0
59,0.98,136.2,629.38,1.0,2.68,59.31,20.67,643.95,50.0,0.0,240.28,0.98,0.0,2022-10-03 04:33:10,64.29,16220209,0.0,1.0,0.0
58,0.96,140.06,452.31,1.0,1.98,59.34,20.68,473.5,49.93,0.0,239.77,0.96,0.0,2022-10-03 04:36:10,64.32,16220209,0.0,1.0,0.0
57,0.17,46.22,7.77,1.0,0.19,59.36,20.68,46.87,49.96,0.0,241.58,1.0,0.0,2022-10-03 04:39:10,64.34,16220209,0.0,1.0,0.0
56,0.16,45.77,7.36,1.0,0.19,59.36,20.69,46.36,50.01,0.0,240.94,1.0,0.0,2022-10-03 04:42:10,64.34,16220209,0.0,1.0,0.0
55,0.97,138.5,510.57,1.0,2.21,59.37,20.69,529.02,50.0,0.0,239.94,0.97,0.0,2022-10-03 04:45:10,64.35,16220209,0.0,1.0,0.0
66,0.22,49.51,11.22,1.0,0.21,59.38,20.69,50.76,50.09,0.0,235.88,1.0,0.0,2022-10-03 08:42:22,64.35,16220209,0.0,1.0,0.0
65,0.97,133.7,513.37,1.0,2.22,59.38,20.69,530.49,50.07,0.0,238.66,0.97,0.0,2022-10-03 08:45:22,64.35,16220209,0.0,1.0,0.0
64,0.99,129.23,827.84,1.0,3.5,59.42,20.69,837.86,50.08,0.0,239.28,0.99,0.0,2022-10-03 08:48:22,64.39,16220209,0.0,1.0,0.0
63,0.98,132.36,715.27,1.0,3.04,59.46,20.7,727.41,50.09,0.0,239.69,0.98,0.0,2022-10-03 08:51:22,64.43,16220209,0.0,1.0,0.0
62,0.16,46.61,7.35,1.0,0.2,59.47,20.7,47.18,50.05,0.0,239.76,1.0,0.0,2022-10-03 08:54:22,64.44,16220209,0.0,1.0,0.0
76,0.21,50.47,10.98,1.0,0.22,59.47,20.7,51.65,50.05,0.0,238.7,1.0,0.0,2022-10-03 08:57:22,64.44,16220209,0.0,1.0,0.0
75,0.99,126.73,817.25,1.0,3.5,59.49,20.71,827.02,50.04,0.0,236.48,0.99,0.0,2022-10-03 09:00:22,64.47,16220209,0.0,1.0,0.0
74,0.98,132.39,715.61,1.0,3.06,59.53,20.71,727.75,50.02,0.0,238.17,0.98,0.0,2022-10-03 09:03:22,64.51,16220209,0.0,1.0,0.0
73,0.97,136.55,547.57,1.0,2.36,59.56,20.72,564.33,50.04,0.0,238.72,0.97,0.0,2022-10-03 09:06:22,64.54,16220209,0.0,1.0,0.0
72,0.15,47.92,7.38,1.0,0.2,59.57,20.72,48.48,50.04,0.0,241.93,1.0,0.0,2022-10-03 09:09:22,64.55,16220209,0.0,1.0,0.0
71,0.21,51.77,11.04,1.0,0.22,59.57,20.72,52.93,50.03,0.0,241.49,1.0,0.0,2022-10-03 09:12:22,64.55,16220209,0.0,1.0,0.0
