,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,0.94,272.97,764.74,1.0,3.52,5476.6,1472.4,812.0,50.05,78.86,230.55,0.94,0.0,2022-10-02 23:57:08,5686.0,52190205,0.0,1.0,0.0
8,1.0,0.0,0.0,1.0,0.0,5476.6,1472.4,0.0,50.01,79.26,231.92,1.0,0.0,2022-10-03 00:00:08,5686.0,52190205,0.0,1.0,0.0
7,0.94,269.89,761.84,1.0,3.52,5476.8,1472.4,808.23,49.93,78.42,229.35,0.94,0.0,2022-10-03 00:03:08,5686.0,52190205,0.0,1.0,0.0
6,0.94,272.04,761.41,1.0,3.56,5476.8,1472.4,808.55,49.93,77.62,227.12,0.94,0.0,2022-10-03 00:06:08,5686.0,52190205,0.0,1.0,0.0
5,0.94,274.71,755.5,1.0,3.56,5476.8,1472.4,803.9,50.0,77.02,225.56,0.94,0.0,2022-10-03 00:09:08,5686.0,52190205,0.0,1.0,0.0
4,1.0,0.0,0.0,1.0,0.0,5476.8,1472.4,0.0,50.02,76.77,224.95,1.0,0.0,2022-10-03 00:12:08,5686.0,52190205,0.0,1.0,0.0
3,0.94,276.94,741.54,1.0,3.52,5476.8,1472.4,791.57,49.99,76.64,224.75,0.94,0.0,2022-10-03 00:15:19,5686.2,52190205,0.0,1.0,0.0
2,0.94,277.85,744.63,1.0,3.52,5476.8,1472.4,794.78,49.92,76.72,225.15,0.94,0.0,2022-10-03 00:18:08,5686.2,52190205,0.0,1.0,0.0
1,1.0,0.0,0.0,1.0,0.0,5476.8,1472.4,0.0,49.88,77.47,226.75,1.0,0.0,2022-10-03 00:21:08,5686.2,52190205,0.0,1.0,0.0
0,0.94,268.49,773.45,1.0,3.56,5477.0,1472.4,818.73,49.94,78.7,229.98,0.94,0.0,2022-10-03 00:24:08,5686.2,52190205,0.0,1.0,0.0
19,0.94,268.44,770.27,1.0,3.56,5477.0,1472.4,815.71,49.98,78.38,229.26,0.94,0.0,2022-10-03 00:27:08,5686.2,52190205,0.0,1.0,0.0
18,1.0,0.0,0.0,1.0,0.0,5477.0,1472.6,0.0,50.0,79.19,231.14,1.0,0.0,2022-10-03 00:30:08,5686.2,52190205,0.0,1.0,0.0
17,0.94,269.9,762.61,1.0,3.54,5477.0,1472.6,808.96,49.98,78.14,228.65,0.94,0.0,2022-10-03 00:33:08,5686.2,52190205,0.0,1.0,0.0
16,0.94,267.66,763.56,1.0,3.52,5477.0,1472.6,809.11,50.01,78.48,229.6,0.94,0.0,2022-10-03 00:36:08,5686.4,52190205,0.0,1.0,0.0
15,1.0,0.0,0.0,1.0,0.0,5477.0,1472.6,0.0,50.01,79.78,232.82,1.0,0.0,2022-10-03 00:39:08,5686.4,52190205,0.0,1.0,0.0
