,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,1.0,418.63,611.24,0.82,0.0,1488.2,962.6,740.86,50.04,80.66,0.0,0.82,3.09,2022-10-02 23:57:06,1787.96,44190083,0.0,1.0,239.48
8,1.0,26.92,131.56,0.98,0.0,1488.24,962.64,134.29,50.0,81.35,0.0,0.98,0.56,2022-10-03 00:00:20,1788.0,44190083,0.0,1.0,241.52
7,1.0,46.87,147.25,0.95,0.0,1488.24,962.64,154.53,49.92,81.28,0.0,0.95,0.64,2022-10-03 00:03:06,1788.0,44190083,0.0,1.0,241.3
6,1.0,421.16,605.16,0.82,0.0,1488.28,962.64,737.29,49.92,81.32,0.0,0.82,3.05,2022-10-03 00:06:06,1788.04,44190083,0.0,1.0,241.48
5,1.0,28.18,37.58,0.8,0.0,1488.32,962.68,46.97,49.99,81.21,0.0,0.8,0.2,2022-10-03 00:09:06,1788.04,44190083,0.0,1.0,241.13
4,0.8,25.81,34.41,1.0,0.18,1488.32,962.68,43.01,50.02,81.32,242.2,0.8,0.0,2022-10-03 00:12:06,1788.08,44190083,0.0,1.0,0.0
3,0.8,25.23,33.63,1.0,0.17,1488.32,962.68,42.04,49.99,81.13,241.62,0.8,0.0,2022-10-03 00:15:06,1788.08,44190083,0.0,1.0,0.0
2,0.8,25.39,33.85,1.0,0.17,1488.32,962.72,42.32,49.91,81.66,243.2,0.8,0.0,2022-10-03 00:18:06,1788.08,44190083,0.0,1.0,0.0
1,0.8,25.14,33.52,1.0,0.17,1488.32,962.72,41.9,49.87,81.8,243.6,0.8,0.0,2022-10-03 00:21:06,1788.08,44190083,0.0,1.0,0.0
0,0.8,25.17,33.56,1.0,0.17,1488.32,962.72,41.95,49.92,81.7,243.35,0.8,0.0,2022-10-03 00:24:06,1788.08,44190083,0.0,1.0,0.0
19,0.8,25.86,34.47,1.0,0.18,1488.32,962.72,43.09,49.97,82.22,244.85,0.8,0.0,2022-10-03 00:27:06,1788.08,44190083,0.0,1.0,0.0
18,0.8,25.28,33.71,1.0,0.17,1488.32,962.72,42.14,49.99,82.25,244.98,0.8,0.0,2022-10-03 00:30:06,1788.08,44190083,0.0,1.0,0.0
17,0.8,25.34,33.79,1.0,0.17,1488.32,962.72,42.23,49.96,82.25,244.98,0.8,0.0,2022-10-03 00:33:06,1788.08,44190083,0.0,1.0,0.0
16,0.8,25.37,33.82,1.0,0.17,1488.32,962.72,42.28,49.99,82.53,245.79,0.8,0.0,2022-10-03 00:36:06,1788.08,44190083,0.0,1.0,0.0
15,0.8,25.46,33.94,1.0,0.17,1488.32,962.72,42.43,49.99,82.25,244.95,0.8,0.0,2022-10-03 00:39:06,1788.08,44190083,0.0,1.0,0.0
14,0.8,25.79,34.39,1.0,0.18,1488.32,962.72,42.99,50.0,82.02,244.27,0.8,0.0,2022-10-03 00:42:06,1788.08,44190083,0.0,1.0,0.0
13,0.8,25.29,33.72,1.0,0.17,1488.32,962.72,42.16,49.99,82.3,245.09,0.8,0.0,2022-10-03 00:45:06,1788.08,44190083,0.0,1.0,0.0
12,0.8,25.12,33.5,1.0,0.17,1488.32,962.72,41.87,49.94,82.12,244.59,0.8,0.0,2022-10-03 00:48:06,1788.08,44190083,0.0,1.0,0.0
11,0.8,25.67,34.23,1.0,0.18,1488.32,962.72,42.79,49.96,82.0,244.23,0.8,0.0,2022-10-03 00:51:06,1788.08,44190083,0.0,1.0,0.0
10,0.8,25.57,34.1,1.0,0.17,1488.32,962.72,42.62,50.01,82.43,245.51,0.8,0.0,2022-10-03 00:54:06,1788.08,44190083,0.0,1.0,0.0
29,0.8,25.66,34.21,1.0,0.17,1488.32,962.72,42.76,50.02,82.52,245.76,0.8,0.0,2022-10-03 00:57:06,1788.08,44190083,0.0,1.0,0.0
28,0.8,25.47,33.97,1.0,0.17,1488.32,962.72,42.46,50.02,82.31,245.14,0.8,0.0,2022-10-03 01:00:06,1788.08,44190083,0.0,1.0,0.0
27,0.8,25.55,34.06,1.0,0.17,1488.32,962.72,42.58,49.92,82.34,245.27,0.8,0.0,2022-10-03 01:03:06,1788.08,44190083,0.0,1.0,0.0
26,0.8,25.64,34.19,1.0,0.17,1488.32,962.72,42.73,49.89,82.65,246.15,0.8,0.0,2022-10-03 01:06:06,1788.08,44190083,0.0,1.0,0.0
25,0.8,25.67,34.23,1.0,0.17,1488.32,962.72,42.79,49.92,82.95,247.03,0.8,0.0,2022-10-03 01:09:06,1788.12,44190083,0.0,1.0,0.0
24,1.0,28.36,37.81,0.8,0.0,1488.36,962.72,47.26,49.9,82.92,0.0,0.8,0.19,2022-10-03 01:12:06,1788.12,44190083,0.0,1.0,246.16
23,1.0,419.68,615.44,0.83,0.0,1488.36,962.72,744.92,49.9,82.95,0.0,0.83,3.02,2022-10-03 01:15:06,1788.12,44190083,0.0,1.0,246.27
22,1.0,567.66,840.76,0.83,0.0,1488.4,962.76,1014.45,49.89,82.67,0.0,0.83,4.13,2022-10-03 01:18:06,1788.16,44190083,0.0,1.0,245.44
