,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
8,2022-10-02 23:57:26,252.16,5905.53,251.21,0.5,0.26,252.93,65.74,5780.48,0.3,180.2,0.37,8507.76,0.26,165.28,0.2,43200007,0.33,50.04
7,2022-10-03 00:00:26,252.26,5905.54,251.7,0.5,0.26,253.29,65.89,5780.48,0.3,180.67,0.37,8507.76,0.26,165.73,0.2,43200007,0.32,50.02
6,2022-10-03 00:03:26,251.79,5905.55,250.82,0.5,0.26,252.55,65.08,5780.49,0.3,179.12,0.37,8507.77,0.26,164.39,0.2,43200007,0.32,49.92
5,2022-10-03 00:06:26,251.74,5905.56,251.06,0.5,0.26,252.5,65.26,5780.49,0.3,179.01,0.37,8507.78,0.26,164.21,0.2,43200007,0.32,49.92
4,2022-10-03 00:09:26,251.89,5905.57,250.75,0.5,0.26,252.83,65.54,5780.49,0.3,179.54,0.37,8507.79,0.26,164.66,0.2,43200007,0.32,49.99
3,2022-10-03 00:12:26,252.4,5905.57,251.32,0.5,0.26,253.02,65.68,5780.5,0.3,180.21,0.37,8507.8,0.26,165.31,0.2,43200007,0.32,50.01
2,2022-10-03 00:15:26,252.05,5905.58,251.55,0.5,0.26,253.37,65.68,5780.5,0.3,180.4,0.37,8507.81,0.26,165.51,0.2,43200007,0.32,49.99
1,2022-10-03 00:18:26,252.48,5905.59,251.48,0.5,0.26,253.22,65.62,5780.5,0.3,180.21,0.37,8507.82,0.26,165.33,0.2,43200007,0.33,49.91
0,2022-10-03 00:21:26,251.83,5905.6,251.35,0.5,0.26,252.74,65.55,5780.51,0.3,179.51,0.37,8507.83,0.26,164.63,0.2,43200007,0.33,49.9
18,2022-10-03 00:27:26,252.45,5905.62,251.47,0.04,0.32,253.23,14.15,5780.51,0.06,254.47,0.01,8507.85,0.33,253.21,0.35,43200007,0.07,49.97
17,2022-10-03 00:30:26,252.6,5905.64,251.73,0.04,0.32,253.67,10.54,5780.51,0.05,255.04,0.02,8507.86,0.35,253.95,0.35,43200007,0.04,49.99
16,2022-10-03 00:33:26,252.9,5905.65,251.61,0.05,0.32,253.52,13.76,5780.51,0.06,260.92,0.02,8507.88,0.35,259.67,0.36,43200007,0.05,49.99
15,2022-10-03 00:36:26,253.27,5905.66,252.36,0.06,0.33,254.08,14.98,5780.51,0.07,263.63,0.03,8507.89,0.35,262.3,0.36,43200007,0.04,49.99
14,2022-10-03 00:39:26,252.9,5905.67,251.82,0.5,0.26,253.45,66.15,5780.51,0.3,181.61,0.37,8507.9,0.26,166.62,0.2,43200007,0.32,49.99
13,2022-10-03 00:42:26,253.07,5905.68,252.02,0.5,0.26,254.07,66.22,5780.52,0.3,182.03,0.37,8507.91,0.26,167.03,0.2,43200007,0.32,50.02
12,2022-10-03 00:45:26,253.28,5905.69,252.25,0.5,0.26,254.04,66.21,5780.52,0.3,182.24,0.37,8507.92,0.26,167.24,0.2,43200007,0.32,49.97
11,2022-10-03 00:48:26,252.94,5905.7,252.06,0.5,0.26,253.86,66.21,5780.52,0.3,181.36,0.37,8507.93,0.26,166.34,0.2,43200007,0.32,49.94
10,2022-10-03 00:51:26,253.65,5905.7,252.78,0.5,0.26,254.3,66.48,5780.53,0.3,182.12,0.37,8507.94,0.26,167.03,0.2,43200007,0.33,49.98
9,2022-10-03 00:54:26,254.08,5905.71,253.05,0.47,0.26,254.74,65.11,5780.53,0.3,183.31,0.36,8507.94,0.26,169.08,0.2,43200007,0.32,50.02
27,2022-10-03 00:57:26,253.14,5905.72,252.03,0.5,0.26,253.7,66.17,5780.53,0.3,181.78,0.37,8507.95,0.26,166.77,0.2,43200007,0.32,50.02
26,2022-10-03 01:00:26,253.23,5905.73,252.3,0.5,0.26,254.16,66.36,5780.54,0.3,182.27,0.37,8507.96,0.26,167.23,0.2,43200007,0.32,50.02
