,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
1,2022-10-03 02:51:17,0.0,433.58,0.0,0.86,0.0,234.43,40.74,893.52,1.0,47.54,0.86,994.46,0.0,24.26,0.2,40190029,1.0,50.02
0,2022-10-03 02:54:17,0.0,433.59,0.0,0.87,0.0,227.22,1148.67,893.53,1.0,1325.33,0.87,994.48,0.0,661.09,5.83,40190029,1.0,50.05
11,2022-10-03 02:57:17,0.0,433.62,0.0,0.88,0.0,227.64,1199.65,893.59,1.0,1370.3,0.88,994.54,0.0,662.24,6.02,40190029,1.0,50.02
10,2022-10-03 03:00:17,0.0,433.65,0.0,0.89,0.0,227.45,1255.28,893.65,1.0,1416.92,0.89,994.61,0.0,657.23,6.23,40190029,1.0,50.02
9,2022-10-03 03:03:17,0.0,433.69,0.0,0.89,0.0,228.89,1286.03,893.72,1.0,1452.26,0.89,994.68,0.0,674.68,6.34,40190029,1.0,50.0
8,2022-10-03 03:06:17,0.0,433.72,0.0,0.89,0.0,226.67,1286.07,893.78,1.0,1439.54,0.89,994.76,0.0,646.74,6.35,40190029,1.0,49.96
7,2022-10-03 03:09:17,0.0,433.75,0.0,0.89,0.0,228.12,1293.01,893.84,1.0,1458.69,0.89,994.83,0.0,675.22,6.39,40190029,1.0,49.98
6,2022-10-03 03:12:17,0.0,433.78,0.0,0.88,0.0,229.1,1296.93,893.91,1.0,1467.33,0.88,994.9,0.0,686.3,6.39,40190029,1.0,49.99
5,2022-10-03 03:15:17,0.0,433.82,0.0,0.9,0.0,225.83,1292.34,893.97,1.0,1439.53,0.9,994.97,0.0,634.12,6.37,40190029,1.0,50.0
4,2022-10-03 03:18:17,0.0,433.85,0.0,0.89,0.0,227.32,1289.01,894.04,1.0,1448.03,0.89,995.05,0.0,659.74,6.37,40190029,1.0,49.99
3,2022-10-03 03:21:17,0.0,433.88,0.0,0.9,0.0,224.44,1272.3,894.1,1.0,1413.43,0.9,995.12,0.0,615.68,6.3,40190029,1.0,49.99
2,2022-10-03 03:24:17,0.0,433.91,0.0,0.9,0.0,224.34,1296.45,894.17,1.0,1435.96,0.9,995.19,0.0,617.41,6.4,40190029,1.0,49.96
21,2022-10-03 03:27:17,0.0,433.94,0.0,0.9,0.0,225.5,1278.68,894.23,1.0,1427.05,0.9,995.26,0.0,633.6,6.33,40190029,1.0,49.95
20,2022-10-03 03:30:17,0.0,433.98,0.0,0.89,0.0,225.92,1267.73,894.29,1.0,1421.31,0.89,995.33,0.0,642.63,6.29,40190029,1.0,49.89
19,2022-10-03 03:33:17,0.0,434.01,0.0,0.89,0.0,227.25,1282.84,894.36,1.0,1443.58,0.89,995.4,0.0,662.01,6.35,40190029,1.0,49.87
18,2022-10-03 03:36:17,0.0,434.04,0.0,0.88,0.0,230.16,1290.17,894.42,1.0,1468.97,0.88,995.48,0.0,702.39,6.38,40190029,1.0,49.94
17,2022-10-03 03:39:17,0.0,434.08,0.0,0.89,0.0,227.75,1284.98,894.49,1.0,1447.03,0.89,995.55,0.0,665.38,6.35,40190029,1.0,49.96
16,2022-10-03 03:42:17,0.0,434.11,0.0,0.88,0.0,230.61,1305.78,894.55,1.0,1483.65,0.88,995.62,0.0,704.38,6.43,40190029,1.0,49.96
15,2022-10-03 03:45:17,0.0,434.15,0.0,0.87,0.0,232.17,1304.21,894.62,1.0,1498.33,0.87,995.7,0.0,737.59,6.45,40190029,1.0,49.94
14,2022-10-03 03:48:17,0.0,434.18,0.0,0.88,0.0,229.77,1292.41,894.68,1.0,1466.04,0.88,995.77,0.0,692.06,6.4,40190029,1.0,49.96
13,2022-10-03 03:51:17,0.0,434.22,0.0,0.87,0.0,231.53,1301.98,894.75,1.0,1488.55,0.87,995.85,0.0,721.56,6.43,40190029,1.0,49.94
12,2022-10-03 03:54:17,0.0,434.25,0.0,0.89,0.0,227.74,1293.34,894.81,1.0,1454.71,0.89,995.92,0.0,665.92,6.39,40190029,1.0,49.94
31,2022-10-03 03:57:17,0.0,434.29,0.0,0.88,0.0,228.37,1287.1,894.88,1.0,1455.63,0.88,995.99,0.0,679.88,6.37,40190029,1.0,49.97
30,2022-10-03 04:00:17,0.0,434.32,0.0,0.89,0.0,226.22,1283.48,894.94,1.0,1433.96,0.89,996.07,0.0,639.48,6.34,40190029,1.0,50.03
29,2022-10-03 04:03:17,0.0,434.35,0.0,0.89,0.0,227.69,1282.87,895.01,1.0,1441.55,0.89,996.14,0.0,657.51,6.33,40190029,1.0,50.03
28,2022-10-03 04:06:17,0.0,434.39,0.0,0.9,0.0,225.61,1268.7,895.07,1.0,1417.1,0.9,996.21,0.0,631.33,6.28,40190029,1.0,50.0
27,2022-10-03 04:09:17,0.0,434.42,0.0,0.89,0.0,226.72,1277.41,895.13,1.0,1434.41,0.89,996.28,0.0,652.51,6.33,40190029,1.0,49.96
26,2022-10-03 04:12:17,0.0,434.45,0.0,0.89,0.0,226.93,1276.71,895.2,1.0,1435.92,0.89,996.35,0.0,657.19,6.33,40190029,1.0,49.91
25,2022-10-03 04:15:17,0.0,434.48,0.0,0.89,0.0,227.62,1274.74,895.26,1.0,1436.19,0.89,996.42,0.0,661.57,6.31,40190029,1.0,49.97
24,2022-10-03 04:18:17,0.0,434.52,0.0,0.89,0.0,227.06,1272.77,895.32,1.0,1428.57,0.89,996.49,0.0,648.75,6.29,40190029,1.0,50.02
23,2022-10-03 04:21:17,0.0,434.55,0.0,0.9,0.0,225.51,1272.79,895.39,1.0,1419.45,0.9,996.57,0.0,628.37,6.29,40190029,1.0,50.02
22,2022-10-03 04:24:17,0.0,434.58,0.0,0.9,0.0,224.59,1267.39,895.45,1.0,1411.77,0.9,996.64,0.0,621.95,6.29,40190029,1.0,49.97
41,2022-10-03 04:27:17,0.0,434.61,0.0,0.9,0.0,224.87,1266.12,895.51,1.0,1412.9,0.9,996.71,0.0,627.09,6.28,40190029,1.0,49.93
40,2022-10-03 04:30:17,0.0,434.64,0.0,0.89,0.0,227.74,1277.8,895.58,1.0,1437.95,0.89,996.78,0.0,659.49,6.31,40190029,1.0,50.03
39,2022-10-03 04:33:17,0.0,434.68,0.0,0.9,0.0,225.83,1275.44,895.64,1.0,1424.36,0.9,996.85,0.0,634.06,6.31,40190029,1.0,49.99
38,2022-10-03 04:36:17,0.0,434.71,0.0,0.89,0.0,226.7,1269.39,895.71,1.0,1427.94,0.89,996.92,0.0,653.96,6.3,40190029,1.0,49.94
37,2022-10-03 04:39:17,0.0,434.74,0.0,0.9,0.0,225.04,1274.55,895.77,1.0,1420.54,0.9,996.99,0.0,627.27,6.31,40190029,1.0,49.96
36,2022-10-03 04:42:17,0.0,434.77,0.0,0.89,0.0,228.45,1277.48,895.83,1.0,1442.34,0.89,997.07,0.0,669.63,6.31,40190029,1.0,50.0
35,2022-10-03 04:45:17,0.0,434.81,0.0,0.88,0.0,229.49,1283.72,895.9,1.0,1456.07,0.88,997.14,0.0,687.16,6.34,40190029,1.0,50.0
34,2022-10-03 04:48:17,0.0,434.84,0.0,0.89,0.0,226.27,1268.55,895.96,1.0,1418.71,0.89,997.21,0.0,635.23,6.27,40190029,1.0,50.05
33,2022-10-03 04:51:17,0.0,434.87,0.0,0.89,0.0,228.11,1280.65,896.03,1.0,1443.85,0.89,997.28,0.0,666.8,6.33,40190029,1.0,50.01
32,2022-10-03 04:54:17,0.0,434.9,0.0,0.9,0.0,222.9,1266.61,896.09,1.0,1400.17,0.9,997.35,0.0,596.8,6.28,40190029,1.0,49.97
51,2022-10-03 04:57:17,0.0,434.94,0.0,0.88,0.0,228.9,1286.41,896.15,1.0,1454.34,0.88,997.42,0.0,678.41,6.35,40190029,1.0,50.0
50,2022-10-03 05:00:17,0.0,434.97,0.0,0.89,0.0,226.51,1277.1,896.22,1.0,1427.1,0.89,997.5,0.0,636.89,6.3,40190029,1.0,50.06
49,2022-10-03 05:03:17,0.0,435.0,0.0,0.89,0.0,228.02,1284.94,896.28,1.0,1445.92,0.89,997.57,0.0,663.04,6.34,40190029,1.0,50.02
48,2022-10-03 05:06:17,0.0,435.03,0.0,0.89,0.0,228.04,1288.13,896.35,1.0,1449.88,0.89,997.64,0.0,665.49,6.36,40190029,1.0,49.94
47,2022-10-03 05:09:17,0.0,435.06,0.0,0.9,0.0,224.48,1267.25,896.41,1.0,1411.26,0.9,997.71,0.0,621.07,6.28,40190029,1.0,49.97
46,2022-10-03 05:12:17,0.0,435.1,0.0,0.89,0.0,226.81,1267.11,896.47,1.0,1423.19,0.89,997.78,0.0,647.99,6.28,40190029,1.0,49.99
45,2022-10-03 05:15:17,0.0,435.13,0.0,0.9,0.0,224.43,1259.37,896.54,1.0,1404.39,0.9,997.85,0.0,621.53,6.26,40190029,1.0,50.01
44,2022-10-03 05:18:17,0.0,435.16,0.0,0.89,0.0,226.84,1264.08,896.6,1.0,1420.11,0.89,997.92,0.0,647.15,6.26,40190029,1.0,50.02
43,2022-10-03 05:21:17,0.0,435.19,0.0,0.9,0.0,223.67,1253.96,896.66,1.0,1393.73,0.9,997.99,0.0,608.35,6.23,40190029,1.0,49.99
42,2022-10-03 05:24:17,0.0,435.22,0.0,0.89,0.0,226.73,1269.05,896.73,1.0,1427.22,0.89,998.06,0.0,653.04,6.29,40190029,1.0,49.96
61,2022-10-03 05:27:17,0.0,435.26,0.0,0.89,0.0,226.48,1265.44,896.79,1.0,1421.75,0.89,998.14,0.0,648.1,6.28,40190029,1.0,49.98
60,2022-10-03 05:30:17,0.0,435.29,0.0,0.88,0.0,229.05,1271.03,896.85,1.0,1441.82,0.88,998.21,0.0,680.69,6.29,40190029,1.0,50.05
59,2022-10-03 05:33:17,0.0,435.32,0.0,0.89,0.0,226.69,1263.64,896.92,1.0,1418.35,0.89,998.28,0.0,644.15,6.26,40190029,1.0,50.05
58,2022-10-03 05:36:17,0.0,435.36,0.0,0.88,0.0,229.13,1273.99,896.98,1.0,1444.16,0.88,998.35,0.0,680.11,6.3,40190029,1.0,50.01
57,2022-10-03 05:39:17,0.0,435.39,0.0,0.88,0.0,229.63,1275.09,897.04,1.0,1449.15,0.88,998.42,0.0,688.61,6.31,40190029,1.0,49.99
56,2022-10-03 05:42:17,0.0,435.42,0.0,0.89,0.0,226.26,1256.25,897.11,1.0,1411.32,0.89,998.5,0.0,643.16,6.24,40190029,1.0,50.0
55,2022-10-03 05:45:17,0.0,435.46,0.0,0.9,0.0,224.92,1255.2,897.17,1.0,1399.63,0.9,998.57,0.0,619.23,6.22,40190029,1.0,50.05
54,2022-10-03 05:48:17,0.0,435.49,0.0,0.9,0.0,222.56,1246.28,897.23,1.0,1378.98,0.9,998.64,0.0,590.23,6.2,40190029,1.0,50.03
53,2022-10-03 05:51:17,0.0,435.52,0.0,0.9,0.0,223.45,1248.43,897.29,1.0,1388.79,0.9,998.7,0.0,608.4,6.21,40190029,1.0,49.95
52,2022-10-03 05:54:17,0.0,435.55,0.0,0.91,0.0,220.97,1241.02,897.36,1.0,1368.51,0.91,998.77,0.0,576.8,6.19,40190029,1.0,49.98
71,2022-10-03 05:57:17,0.0,435.58,0.0,0.91,0.0,222.69,1256.61,897.42,1.0,1388.16,0.91,998.84,0.0,589.86,6.23,40190029,1.0,50.06
70,2022-10-03 06:00:17,0.0,435.61,0.0,0.9,0.0,222.84,1257.43,897.48,1.0,1390.97,0.9,998.91,0.0,594.7,6.24,40190029,1.0,50.09
69,2022-10-03 06:03:17,0.0,435.64,0.0,0.9,0.0,224.95,1258.03,897.54,1.0,1402.61,0.9,998.98,0.0,620.22,6.24,40190029,1.0,50.07
68,2022-10-03 06:06:17,0.0,435.67,0.0,0.91,0.0,221.17,1245.02,897.61,1.0,1373.55,0.91,999.05,0.0,580.15,6.21,40190029,1.0,50.0
67,2022-10-03 06:09:17,0.0,435.7,0.0,0.9,0.0,224.02,1255.9,897.67,1.0,1391.72,0.9,999.12,0.0,599.66,6.25,40190029,1.0,49.97
