,r_phase_pf,total_reactive_power,total_active_power,y_phase_pf,r_phase_current,total_real_energy,total_reactive_energy,total_apparent_power,frequency,b_phase_voltage,r_phase_voltage,total_pf,y_phase_current,timestamp,total_apparent_energy,serial_no,b_phase_current,b_phase_pf,y_phase_voltage
9,0.93,433.81,1121.48,1.0,5.25,797.38,287.76,1202.46,50.05,0.0,228.97,0.93,0.0,2022-10-02 23:57:27,850.08,40190085,0.0,1.0,0.0
8,0.77,23.56,29.09,1.0,0.16,797.4,287.77,37.58,50.02,0.0,237.25,0.78,0.0,2022-10-03 00:00:27,850.11,40190085,0.0,1.0,0.0
7,0.77,23.29,28.76,1.0,0.16,797.4,287.77,37.15,49.92,0.0,236.35,0.78,0.0,2022-10-03 00:03:27,850.11,40190085,0.0,1.0,0.0
6,0.92,470.52,1124.02,1.0,5.27,797.44,287.79,1218.53,49.92,0.0,231.08,0.92,0.0,2022-10-03 00:06:27,850.15,40190085,0.0,1.0,0.0
5,0.77,23.36,28.86,1.0,0.16,797.46,287.8,37.28,50.0,0.0,235.97,0.78,0.0,2022-10-03 00:09:27,850.17,40190085,0.0,1.0,0.0
4,0.78,23.28,28.86,1.0,0.16,797.46,287.8,37.23,50.01,0.0,235.62,0.78,0.0,2022-10-03 00:12:27,850.17,40190085,0.0,1.0,0.0
3,0.93,443.96,1117.34,1.0,5.22,797.5,287.81,1202.31,49.99,0.0,230.09,0.93,0.0,2022-10-03 00:15:27,850.21,40190085,0.0,1.0,0.0
2,0.78,22.79,28.4,1.0,0.16,797.52,287.82,36.56,49.91,0.0,232.54,0.78,0.0,2022-10-03 00:18:27,850.24,40190085,0.0,1.0,0.0
1,0.78,22.04,28.05,1.0,0.16,797.52,287.82,35.81,49.9,0.0,229.53,0.79,0.0,2022-10-03 00:21:27,850.24,40190085,0.0,1.0,0.0
0,0.94,417.44,1105.21,1.0,5.21,797.56,287.84,1181.42,49.94,0.0,226.96,0.94,0.0,2022-10-03 00:24:27,850.28,40190085,0.0,1.0,0.0
19,0.78,22.74,28.65,1.0,0.16,797.58,287.85,36.72,49.98,0.0,233.59,0.78,0.0,2022-10-03 00:27:27,850.3,40190085,0.0,1.0,0.0
