,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
8,2022-10-03 00:02:01,0.0,123.19,241.68,1.0,0.0,0.0,109.0,603.35,1.0,122.87,0.89,622.21,0.51,56.71,0.0,40190046,0.89,49.96
7,2022-10-03 00:03:00,0.0,123.19,240.91,1.0,0.0,0.0,108.28,603.36,1.0,122.09,0.89,622.21,0.51,56.4,0.0,40190046,0.89,49.92
6,2022-10-03 00:06:30,0.0,123.19,240.96,1.0,0.0,0.0,108.02,603.36,1.0,121.54,0.89,622.22,0.5,55.7,0.0,40190046,0.89,49.92
5,2022-10-03 00:09:29,0.0,123.19,241.55,1.0,0.0,0.0,108.77,603.37,1.0,122.32,0.89,622.22,0.51,55.96,0.0,40190046,0.89,50.0
4,2022-10-03 00:12:29,0.0,123.2,241.84,1.0,0.0,0.0,108.76,603.37,1.0,122.47,0.89,622.23,0.51,56.29,0.0,40190046,0.89,50.02
3,2022-10-03 00:15:00,0.0,123.2,241.53,1.0,0.0,0.0,108.87,603.38,1.0,122.31,0.89,622.23,0.51,55.75,0.0,40190046,0.89,50.01
2,2022-10-03 00:18:29,0.0,123.2,241.7,1.0,0.0,0.0,108.66,603.38,1.0,122.4,0.89,622.24,0.51,56.33,0.0,40190046,0.89,49.92
1,2022-10-03 00:21:29,0.0,123.2,241.61,1.0,0.0,0.0,108.05,603.39,1.0,121.48,0.89,622.25,0.5,55.53,0.0,40190046,0.89,49.9
0,2022-10-03 00:24:29,0.0,123.21,242.0,1.0,0.0,0.0,108.64,603.4,1.0,122.55,0.89,622.25,0.51,56.71,0.0,40190046,0.89,49.93
18,2022-10-03 00:27:29,0.0,123.21,242.49,1.0,0.0,0.0,109.69,603.4,1.0,124.15,0.88,622.26,0.51,58.16,0.0,40190046,0.88,49.98
17,2022-10-03 00:30:29,0.0,123.21,242.71,1.0,0.0,0.0,109.25,603.41,1.0,123.01,0.89,622.26,0.51,56.52,0.0,40190046,0.89,50.0
16,2022-10-03 00:33:29,0.0,123.21,240.74,1.0,0.0,0.0,824.63,603.43,1.0,838.93,0.98,622.29,3.48,154.24,0.0,40190046,0.98,50.0
15,2022-10-03 00:36:29,0.0,123.22,241.03,1.0,0.0,0.0,837.49,603.47,1.0,851.41,0.98,622.33,3.53,153.33,0.0,40190046,0.98,50.0
14,2022-10-03 00:39:29,0.0,123.23,240.75,1.0,0.0,0.0,840.24,603.51,1.0,854.47,0.98,622.37,3.55,155.29,0.0,40190046,0.98,49.99
13,2022-10-03 00:42:00,0.0,123.23,241.03,1.0,0.0,0.0,842.66,603.54,1.0,856.43,0.98,622.41,3.55,152.94,0.0,40190046,0.98,50.02
12,2022-10-03 00:45:29,0.0,123.24,240.98,1.0,0.0,0.0,842.64,603.59,1.0,855.67,0.98,622.46,3.55,148.78,0.0,40190046,0.98,49.97
11,2022-10-03 00:48:29,0.0,123.25,240.83,1.0,0.0,0.0,843.79,603.63,1.0,856.49,0.99,622.5,3.56,146.93,0.0,40190046,0.99,49.94
10,2022-10-03 00:51:29,0.0,123.26,240.93,1.0,0.0,0.0,847.93,603.68,1.0,860.6,0.99,622.54,3.57,147.16,0.0,40190046,0.99,49.98
9,2022-10-03 00:54:30,0.0,123.27,241.61,1.0,0.0,0.0,851.57,603.72,1.0,863.9,0.99,622.58,3.58,145.46,0.0,40190046,0.99,50.02
28,2022-10-03 00:57:29,0.0,123.27,240.47,1.0,0.0,0.0,850.89,603.76,1.0,863.58,0.99,622.63,3.59,147.49,0.0,40190046,0.99,50.02
27,2022-10-03 01:00:29,0.0,123.28,241.31,1.0,0.0,0.0,856.45,603.81,1.0,868.72,0.99,622.67,3.6,145.46,0.0,40190046,0.99,50.02
26,2022-10-03 01:03:29,0.0,123.29,240.4,1.0,0.0,0.0,853.21,603.85,1.0,865.37,0.99,622.71,3.6,144.54,0.0,40190046,0.99,49.93
25,2022-10-03 01:06:29,0.0,123.29,240.77,1.0,0.0,0.0,854.97,603.89,1.0,866.77,0.99,622.76,3.6,142.58,0.0,40190046,0.99,49.9
24,2022-10-03 01:09:29,0.0,123.3,241.07,1.0,0.0,0.0,856.98,603.93,1.0,868.14,0.99,622.8,3.6,138.75,0.0,40190046,0.99,49.91
23,2022-10-03 01:12:29,0.0,123.31,241.09,1.0,0.0,0.0,860.67,603.98,1.0,872.26,0.99,622.84,3.62,141.72,0.0,40190046,0.99,49.9
22,2022-10-03 01:15:29,0.0,123.32,241.18,1.0,0.0,0.0,864.07,604.02,1.0,875.68,0.99,622.89,3.63,142.1,0.0,40190046,0.99,49.89
21,2022-10-03 01:18:29,0.0,123.32,241.5,1.0,0.0,0.0,865.88,604.06,1.0,877.22,0.99,622.93,3.63,140.65,0.0,40190046,0.99,49.9
